Crop,clipped_PA_surf,total_surf
areca,15.938837051391602,17.152609
avocado,7.325335502624512,7.883711
banana,52713.5,74914.266
bean,3.012458324432373,3.0124583
cabbagefor,0.0,0.0
cabbage,15.064610481262207,16.211864
carrotfor,0.0,0.0
carrot,3.482386350631714,3.7483532
cashew,44.33943176269531,47.714195
cassava,11225.6171875,14564.364
castor,1.649431824684143,1.775514
chilleetc,29.044591903686523,31.255579
cinnamon,13.565869331359863,14.599084
clove,60.859317779541016,65.49107
cocoa,70295.453125,90459.22
coconut,139640.390625,181720.28
coffee,25956.5,40992.9
cotton,3.855692148208618,4.1500635
cucumberetc,8.786561965942383,9.456121
eggplant,7.076958656311035,7.616435
fruitnes,87021.8984375,107962.08
garlic,2.150102376937866,2.306567
ginger,2.648164749145508,2.8407586
greenbean,21.521575927734375,22.903227
greencorn,18142.984375,23112.936
groundnut,1056.1353759765625,1347.3745
jutelikefiber,0.8181292414665222,0.87253165
kapokfiber,45.893272399902344,49.38627
kapokseed,45.893272399902344,49.38627
legumenes,0.0,0.0
maizefor,0.0,0.0
maize,1515.130615234375,2246.074
mango,26.428829193115234,28.440783
nutmeg,46.58100891113281,50.128517
nutnes,7690.4580078125,9665.783
oilpalm,123823.9375,194053.05
onion,15.211591720581055,16.37003
orange,14.958683013916016,16.097876
papaya,2.3616139888763428,2.5334213
pepper,14.974862098693848,16.115286
pineapple,838.3372192382812,1049.9209
popcorn,0.0,0.0
potato,172.66799926757812,207.67719
pulsenes,5537.17822265625,6957.6553
pumpkinetc,45.18862533569336,55.63414
pyrethrum,1394.1663818359375,1751.4897
rice,378.5599670410156,419.92862
rootnes,17865.177734375,22680.326
rubber,7165.64208984375,8993.825
sorghumfor,0.0,0.0
sorghum,1054.0673828125,1121.937
soybean,2.1409029960632324,2.140903
spicenes,297.6784973144531,376.21765
spinach,5.979937553405762,6.435942
sugarcane,7544.083984375,12424.723
sugarnes,13.228423118591309,14.235963
sweetpotato,92298.2890625,131543.83
taro,25654.48046875,33010.363
tea,3263.912353515625,4102.0176
tobacco,75.01533508300781,89.96022
tomato,52.995784759521484,64.74063
tropicalnes,147.73487854003906,187.13365
turnipfor,0.0,0.0
vanilla,222.3800048828125,239.32182
vegetablenes,9201.583984375,11619.82
vegfor,13582.4619140625,18119.627
yam,12802.3916015625,20239.117
