Crop,clipped_PA_surf,total_surf
aniseetc,0.05947583168745041,0.07383532
apple,0.04041732847690582,0.054050587
avocado,1.6841775178909302,5.7181387
banana,2849.583984375,22434.816
barley,0.0,0.3932408
bean,235.00238037109375,1555.6948
berrynes,0.039455052465200424,0.052763555
broadbean,2939.813232421875,10545.218
cabbagefor,0.0,0.0
cabbage,11.337316513061523,27.986912
carrotfor,0.0,0.0
carrot,0.9788042902946472,14.947211
cashew,0.4345245063304901,0.84789085
cassava,9455.8427734375,84903.59
castor,119.18705749511719,418.8381
cauliflower,0.0,0.0
cerealnes,0.0,29.093277
chickpea,1711.58349609375,7076.4277
chilleetc,44.28557205200195,154.97984
citrusnes,3.7773783206939697,7.3599715
clove,0.25554466247558594,0.49880713
cocoa,0.029263755306601524,122.84055
coconut,3.432546854019165,6.0560236
coffee,23.554584503173828,95.42553
cotton,0.5778006315231323,132.7221
cowpea,38725.41015625,122023.85
cucumberetc,366.05401611328125,1306.9043
date,1725.17578125,6154.0767
eggplant,641.8256225585938,2288.9998
fibrenes,21.70375633239746,140.72044
fornes,6948.56396484375,24787.617
fruitnes,6504.65185546875,23188.922
garlic,59.06889343261719,208.14018
ginger,0.021952221170067787,0.05644621
grapefruitetc,281.1853942871094,1003.22095
grape,0.16017092764377594,0.73102677
greenbean,4.482206344604492,8.825428
greenbroadbean,0.020118020474910736,0.031089772
greenonion,0.22457098960876465,1.0677397
greenpea,1.653144121170044,3.2246966
groundnut,18312.92578125,114664.516
jutelikefiber,0.21964114904403687,1.5988345
legumenes,0.0,0.0
lemonlime,323.21624755859375,1154.678
lentil,0.7999651432037354,29.116985
lettuce,0.043699879199266434,0.119011186
linseed,1.1165711879730225,77.99402
maizefor,0.0,0.0
maize,27916.9921875,200539.2
mango,578.7911376953125,2064.9465
melonetc,137.16232299804688,487.13037
melonseed,574.1126708984375,888.2495
millet,1327.9619140625,8546.104
mustard,0.29405370354652405,1.4574082
nutmeg,0.02833365648984909,0.028333656
nutnes,8.321257591247559,41.63548
oats,0.8077840805053711,1.8322458
oilpalm,0.40017473697662354,8.304125
oilseedfor,0.0,0.0
oilseednes,14.856823921203613,264.48923
okra,0.17984315752983093,0.34232643
onion,642.716064453125,2229.4094
orange,156.23373413085938,555.60876
papaya,2.6660051345825195,8.899514
peachetc,0.0,0.0
pear,0.14905276894569397,0.29314184
pea,19.473966598510742,82.07266
pepper,1.5512101650238037,5.0560555
pimento,464.8262634277344,1729.9691
pineapple,122.60840606689453,426.7545
plantain,42.545921325683594,7602.343
plum,0.1627911627292633,0.30986214
popcorn,0.0,0.0
potato,11372.4912109375,27995.754
pulsenes,5992.43798828125,21403.498
pumpkinetc,380.8706359863281,1358.1449
pyrethrum,2.3002350330352783,4.4867883
rapeseed,0.02344537526369095,3.6142683
rice,1125.3759765625,5702.3506
rootnes,34.804176330566406,228.96225
rubber,0.0,0.26046032
safflower,8.956042289733887,46.87067
sesame,35139.640625,135619.05
sisal,5.47893762588501,11.180212
sorghumfor,0.0,0.0
sorghum,109545.5546875,738384.75
soybean,0.2669990062713623,15.519421
spicenes,0.3917562961578369,0.76447546
spinach,0.3963797688484192,0.77349305
strawberry,0.0,0.0
sugarcane,3778.929931640625,13727.118
sunflower,5547.63623046875,28259.42
sweetpotato,2333.87939453125,10312.545
tangetc,46.61114501953125,163.41348
taro,0.05662386864423752,0.85963345
tea,0.0,7.6806355
tobacco,1.7599756717681885,18.04269
tomato,3087.248779296875,10870.158
tropicalnes,670.1995239257812,2390.2688
turnipfor,0.0,0.0
vanilla,0.14768542349338531,0.43369514
vegetablenes,3800.100830078125,13557.046
vegfor,7197.61474609375,53640.793
vetch,0.8439931869506836,74.31734
watermelon,315.3193359375,1125.6444
wheat,326.22637939453125,1663.4071
yam,2673.1787109375,22447.955
