Crop,clipped_PA_surf,total_surf
apple,102.0488510131836,1420.7437
barley,18933.228515625,286944.06
bean,47.85529708862305,579.9407
beetfor,0.0,0.0
berrynes,5.881263732910156,88.17377
blueberry,2.570438861846924,40.91779
cabbagefor,0.09932850301265717,0.0993285
cabbage,54.067501068115234,756.9218
carrotfor,0.0,0.0
carrot,127.58052062988281,1781.807
cauliflower,50.72257614135742,711.66724
cherry,12.531858444213867,177.63875
cucumberetc,15.917236328125,227.02623
currant,19.474897384643555,275.59277
fornes,5.305664539337158,5.542281
gooseberry,0.022341322153806686,0.022341322
greenbean,17.189023971557617,17.822191
greenonion,0.25340813398361206,0.25340813
greenpea,351.808349609375,4933.886
legumenes,0.0,0.0
lettuce,138.8822021484375,1945.3826
linseed,173.57913208007812,2429.7473
maizefor,0.0,0.0
maize,577.6857299804688,2463.8481
mixedgrain,958.0529174804688,13539.624
mixedgrass,5476.92919921875,65531.613
oats,8015.5068359375,158850.61
onion,98.13543701171875,1378.6425
pear,7.727657794952393,110.537186
pea,1561.909912109375,21971.756
plum,2.588660717010498,40.342163
popcorn,0.0,0.0
potato,2574.410400390625,23670.441
rapeseed,7006.9697265625,95423.6
rasberry,8.052210807800293,116.58273
rice,112.06280517578125,196.61421
ryefor,6.620052337646484,6.91487
rye,2151.978515625,28176.5
soybean,340.1985168457031,762.0371
strawberry,148.1619110107422,2067.751
sugarbeet,2905.962890625,28408.97
sunflower,9614.9345703125,34752.06
tomato,3.062868118286133,48.359665
triticale,1179.0262451171875,16452.12
turnipfor,0.18812938034534454,0.18812938
vegetablenes,92.41883850097656,1291.5498
vegfor,12.447473526000977,139.52965
wheat,32517.59375,391217.25
