Crop,clipped_PA_surf,total_surf
alfalfa,3.7532989978790283,5.6362123
almond,5291.3818359375,132378.39
aniseetc,635.272705078125,13474.889
apple,1340.3828125,24074.463
apricot,323.18011474609375,6834.402
artichoke,188.26736450195312,3836.3945
avocado,0.9347379207611084,25.115223
barley,30667.076171875,513673.16
bean,9.201956748962402,123.51264
beetfor,0.13531899452209473,0.20358425
berrynes,0.7670038342475891,20.324467
broadbean,2910.23681640625,40478.887
cabbagefor,0.0,0.0
cabbage,109.71399688720703,2182.054
carob,19.380159378051758,392.6615
carrotfor,0.0,0.0
carrot,499.0830993652344,10560.198
cauliflower,45.2152099609375,772.4234
cerealnes,796.8619995117188,14638.739
cherry,171.29537963867188,232.27124
chickpea,498.8072204589844,6462.4443
chilleetc,872.2432861328125,16796.44
citrusnes,577.7905883789062,11652.546
clover,2.6054775714874268,3.9040422
cotton,93.326171875,2830.2222
cranberry,0.5197608470916748,20.71205
cucumberetc,132.71705627441406,2651.7957
date,1496.585205078125,3782.1638
eggplant,7.403400897979736,30.979134
fig,531.7459106445312,12025.702
fornes,203.84872436523438,346.8484
fruitnes,724.5126953125,15049.835
garlic,113.37633514404297,2216.9504
grapefruitetc,200.04295349121094,4220.8027
grape,1346.3819580078125,18061.348
greenbean,18.978361129760742,296.51984
greenbroadbean,340.49871826171875,6871.925
greenonion,438.24713134765625,9192.057
greenpea,550.2456665039062,10122.621
groundnut,2.8416733741760254,9.427642
legumenes,0.0,0.0
lemonlime,155.63743591308594,3097.7275
lentil,146.86361694335938,1898.4777
lettuce,137.05589294433594,2793.4368
linseed,48.39204406738281,1034.1165
maizefor,3.3300647735595703,5.000705
maize,0.0,0.0
melonetc,505.45245361328125,8989.451
mixedgrass,1620.7220458984375,27528.36
oats,222.7615966796875,4886.5415
olive,135516.484375,2285994.8
onion,292.8406677246094,5986.8823
orange,983.8878173828125,17102.873
peachetc,756.1355590820312,13594.153
pear,278.29473876953125,4853.9707
pea,249.03671264648438,5146.2446
pimento,116.7745590209961,2421.334
pistachio,668.1358032226562,22242.023
plum,170.6614532470703,3456.0203
popcorn,0.0,0.0
potato,1721.26708984375,25207.691
pulsenes,1351.0494384765625,28501.713
pumpkinetc,155.08680725097656,3154.553
quince,19.1369686126709,382.4548
rapeseed,235.3543701171875,5019.874
rice,0.33523622155189514,0.74950176
ryefor,59.58735656738281,89.58963
rye,0.0,0.0
sorghumfor,0.0,0.0
sorghum,125.89369201660156,2347.4895
spicenes,141.79373168945312,2987.5388
spinach,29.71401596069336,635.08386
stonefruitnes,30.22932243347168,566.7322
strawberry,17.878917694091797,379.44168
sugarbeet,71.97056579589844,1535.4913
sunflower,460.6278076171875,7193.4883
tangetc,424.36517333984375,8450.991
tobacco,105.06000518798828,1195.5447
tomato,1369.8095703125,21535.115
triticale,396.8463439941406,8130.813
tropicalnes,531.8512573242188,11266.153
turnipfor,0.0,0.0
vegetablenes,276.5097961425781,5378.893
vegfor,770.683837890625,8395.49
vetch,19.23766326904297,25.788788
watermelon,398.8822937011719,5660.2847
wheat,35725.8515625,594522.75
