Crop,clipped_PA_surf,total_surf
alfalfa,156.9781951904297,167.22205
almond,85.76483917236328,125.86382
aniseetc,30.32838249206543,32.615746
apple,6164.3896484375,10722.057
apricot,5898.63916015625,10274.291
artichoke,1.3335119485855103,1.4089556
asparagus,0.03588847443461418,0.035888474
banana,0.20004107058048248,0.21265037
barley,27839.140625,51233.64
bean,724.5159912109375,1355.911
beetfor,172.30271911621094,220.0151
berrynes,896.5404052734375,1576.5109
broadbean,20.196895599365234,24.65654
buckwheat,0.09266002476215363,0.13118024
cabbagefor,0.0,0.0
cabbage,1658.540283203125,2892.3953
carob,0.6494832038879395,0.6955318
carrotfor,0.0,0.0
carrot,509.1268615722656,878.406
cauliflower,293.2874755859375,442.8293
cerealnes,2734.0634765625,4804.881
cherry,1055.1995849609375,1780.0017
chestnut,9.872845649719238,11.404049
chickpea,39.8566780090332,53.80571
chilleetc,1139.089599609375,2027.9166
citrusnes,4.114875793457031,6.2876415
cotton,0.2578754425048828,0.25787544
cranberry,220.89675903320312,223.28845
cucumberetc,1066.250732421875,1882.5242
currant,1.1506638526916504,2.0188012
date,18.149702072143555,18.264606
eggplant,963.464599609375,1720.1895
fig,204.54713439941406,229.87955
fornes,7905.419921875,14285.909
fruitnes,771.6845703125,1087.9711
garlic,559.4972534179688,995.4826
grapefruitetc,2.3744332790374756,2.509344
grape,9111.748046875,11701.782
grassnes,43.70758819580078,71.46187
greenbean,703.031005859375,1256.9198
greenbroadbean,2.720757007598877,2.9461932
greenonion,5.280266761779785,5.845541
greenpea,146.59072875976562,185.23177
groundnut,3.5711944103240967,4.1418223
hazelnut,520.0072631835938,627.0773
hempseed,0.05824611335992813,0.058246113
hop,0.16545060276985168,0.23418146
kiwi,1.6978299617767334,1.7746962
legumenes,105.14480590820312,114.823326
lemonlime,24.44053840637207,25.951612
lentil,90.96676635742188,158.04367
lettuce,11.021617889404297,11.916519
linseed,114.65811157226562,120.48227
maizefor,255.82049560546875,366.57532
maize,1382.1041259765625,2115.5293
mango,0.19799616932868958,0.19799617
melonetc,2153.238525390625,3885.6277
millet,0.5381184816360474,1.0859048
mixedgrain,4.304118633270264,4.6647744
mixedgrass,625.275390625,1065.5156
nutnes,21.054540634155273,34.914036
oats,1823.6728515625,3259.7246
oilseedfor,0.0,0.0
oilseednes,30.030195236206055,52.554043
okra,3.462812900543213,3.7451415
olive,67.23540496826172,79.4096
onion,941.8362426757812,1615.5444
orange,62.48289489746094,80.237076
peachetc,2831.70263671875,4871.035
pear,1595.79833984375,2748.857
pea,78.7459945678711,144.28073
pimento,3.473708391189575,3.7557917
pistachio,133.5247802734375,143.95906
plum,1513.0755615234375,2605.8308
popcorn,0.0,0.0
poppy,18.916515350341797,20.786419
potato,15690.94140625,22347.75
pulsenes,213.0376739501953,360.02362
pumpkinetc,50.90581130981445,55.842506
quince,283.0037536621094,356.81927
rapeseed,0.4290744364261627,0.42907444
rasberry,5.660980224609375,9.954554
ryefor,0.0,0.0
rye,109.63113403320312,174.15488
safflower,6.5792646408081055,6.5792646
sesame,18.72500991821289,20.321932
sorghumfor,0.0,0.0
sorghum,2.1270697116851807,2.169737
sourcherry,617.4968872070312,806.5931
soybean,1.4915629625320435,3.4008408
spicenes,31.52281951904297,39.31642
spinach,9.126279830932617,9.964375
stonefruitnes,328.90618896484375,581.1771
strawberry,9.002558708190918,10.321745
stringbean,4.024242401123047,4.3324795
sugarbeet,1842.108642578125,3691.0437
sugarcane,1.8398317098617554,1.8398317
sunflower,105.77516174316406,148.35596
tangetc,32.213741302490234,35.80761
tea,63.16229248046875,86.580185
tobacco,193.70858764648438,339.4073
tomato,3035.611328125,5305.9883
tropicalnes,8304.2685546875,8562.272
turnipfor,0.0,0.0
vegetablenes,2406.15478515625,4213.5654
vegfor,4343.96630859375,8128.1763
vetch,63.41644287109375,95.48445
walnut,1231.24853515625,1571.8579
watermelon,2451.536865234375,4281.816
wheat,38749.15234375,66808.58
