Crop,clipped_PA_surf,total_surf
alfalfa,41813.76953125,157157.94
almond,8451.7255859375,34204.312
apple,13828.5322265625,19584.98
apricot,1596.6895751953125,6254.474
asparagus,359.4795227050781,1613.9138
avocado,4273.71337890625,14966.675
banana,7675.83056640625,11972.926
barley,1432140.875,4935585.0
bean,49587.81640625,105885.62
berrynes,467.385009765625,1815.8918
broadbean,58274.65625,207186.31
cabbagefor,0.0,0.0
cabbage,1010.6050415039062,2364.796
canaryseed,2048.617919921875,7357.0425
carrotfor,0.0,0.0
carrot,2099.890869140625,4879.451
cauliflower,3536.228271484375,8515.761
cherry,635.189453125,2030.6228
chickpea,93023.3515625,277317.44
chilleetc,591.0166015625,2033.5454
citrusnes,22.231130599975586,74.55196
cotton,33945.63671875,79681.82
cowpea,1859.1033935546875,6679.837
cucumberetc,381.3818054199219,838.03674
currant,28.418046951293945,97.61535
fruitnes,0.0,0.0
grapefruitetc,191.67543029785156,730.70856
grape,58019.5625,141666.77
grassnes,129682.9921875,428598.97
greenbean,3525.522705078125,6590.654
greencorn,3265.69140625,6403.3623
greenpea,2116.345947265625,3972.1174
groundnut,2668.141357421875,4800.108
hop,66.04324340820312,265.63553
kiwi,40.87819290161133,169.70927
legumenes,0.0,0.0
lemonlime,370.6806945800781,1434.0952
lentil,93031.2890625,377601.5
lettuce,2393.751708984375,5637.0474
linseed,1964.904296875,7054.8
lupin,113710.9609375,445965.34
maizefor,0.0,0.0
maize,19996.83984375,39280.332
mango,4636.87451171875,14949.939
melonetc,2813.56591796875,6044.8774
millet,13455.0380859375,35904.48
mushroom,36.511634826660156,128.6264
mustard,49.110145568847656,202.40317
nutnes,5795.45703125,21543.135
oats,195703.09375,736451.0
olive,6463.94140625,20589.074
onion,2275.373779296875,5163.788
orange,5211.85498046875,20063.379
papaya,71.23566436767578,288.41644
peachetc,2760.944580078125,11336.002
pear,1106.9755859375,4921.746
pea,68814.4375,247723.64
pineapple,1676.3656005859375,2202.1465
plum,803.5646362304688,3048.7307
popcorn,0.0,0.0
potato,11745.529296875,27408.87
pumpkinetc,2513.90478515625,4637.1133
rapeseed,596002.75,2012387.4
rasberry,53.809383392333984,225.0329
rice,1993.227294921875,5915.4785
ryefor,0.0,0.0
rye,11364.0146484375,40722.426
safflower,1986.7249755859375,7140.554
sorghumfor,0.0,0.0
sorghum,96093.6328125,225584.66
soybean,3116.096435546875,10715.555
spinach,346.22296142578125,1349.0503
strawberry,1324.4605712890625,2317.3923
sugarcane,229176.4375,362410.78
sunflower,3191.760986328125,9723.441
sweetpotato,1005.1973266601562,1931.4048
tangetc,1475.7164306640625,5147.878
tobacco,388.57708740234375,922.61334
tomato,1019.87890625,4152.2246
triticale,21863.89453125,81770.88
tropicalnes,294.4790344238281,1124.0413
turnipfor,0.0,0.0
vegetablenes,538.078125,2029.8364
vegfor,1786.8095703125,4038.219
vetch,10391.5205078125,37223.277
watermelon,1175.2757568359375,3945.2524
wheat,2780744.0,7863520.0
