Crop,clipped_PA_surf,total_surf
avocado,19686.505859375,33126.11
banana,16616.07421875,29789.154
bean,30573.580078125,42272.668
broadbean,5557.216796875,9388.777
cabbagefor,0.0,0.0
cabbage,470.1036376953125,872.92285
carrotfor,0.0,0.0
carrot,1049.691650390625,1897.3386
cashew,5395.03515625,9088.349
cassava,16835.87109375,27992.191
castor,15.758220672607422,30.905071
chickpea,1.7922247648239136,2.7751715
chilleetc,4419.76611328125,7630.8945
cocoa,86085.390625,169761.05
coconut,29523.63671875,48286.438
coffee,48362.71875,81953.29
cotton,11.87949275970459,14.890565
cowpea,163.17015075683594,269.8555
cucumberetc,484.63189697265625,896.7663
eggplant,2082.802001953125,3733.46
fruitnes,3286.34326171875,5553.198
garlic,195.85377502441406,365.6119
ginger,36.67225646972656,62.02317
grapefruitetc,433.41845703125,721.7793
groundnut,3787.40185546875,5539.4487
legumenes,0.0,0.0
lemonlime,12682.564453125,21649.125
lettuce,843.7452392578125,1563.3279
maizefor,0.0,0.0
maize,23911.18359375,34629.516
mango,2426.271484375,3984.7126
melonetc,872.5706787109375,1555.2346
oilpalm,10322.0810546875,19582.094
onion,2781.81689453125,4823.5566
orange,7660.072265625,12062.946
papaya,5876.4267578125,10163.08
pea,265.6039123535156,446.7036
pigeonpea,13779.412109375,22321.441
pineapple,4792.5830078125,8236.944
plantain,30416.873046875,49082.984
popcorn,0.0,0.0
potato,747.7438354492188,3365.5725
pumpkinetc,4797.953125,8201.697
rice,103737.78125,186784.31
rootnes,284.0107116699219,489.27127
sesame,150.0584259033203,261.92786
sisal,299.55169677734375,517.3125
sorghumfor,0.0,0.0
sorghum,304.48577880859375,404.40387
spicenes,699.592041015625,1179.4822
spinach,0.3660355806350708,0.74333525
sugarcane,63505.7421875,106592.68
sweetpotato,4619.4970703125,7297.8643
tangetc,23.271297454833984,46.598167
tobacco,6356.11376953125,8761.63
tomato,3704.74462890625,6354.6797
tropicalnes,0.0,0.0
turnipfor,0.0,0.0
vegetablenes,789.7586669921875,1345.9934
vegfor,11095.7861328125,17651.586
yam,2720.642333984375,4785.116
yautia,2832.57080078125,4880.3057
