Crop,clipped_PA_surf,total_surf
aniseetc,0.06364157795906067,0.65049994
apple,214.74588012695312,915.2609
apricot,0.04108161851763725,0.04108162
barley,24388.44140625,129213.875
bean,34.09186935424805,175.19725
beetfor,0.0,0.0
berrynes,227.36309814453125,1054.541
broadbean,1986.3388671875,13373.171
buckwheat,53.35459518432617,223.42743
cabbagefor,0.0,0.0
cabbage,251.7660369873047,1167.0781
carrotfor,0.0,0.0
carrot,99.78662109375,461.21667
cauliflower,24.037508010864258,66.79277
cerealnes,635.0826416015625,1461.9387
cherry,134.28968811035156,613.4916
cranberry,2.219538688659668,3.601077
cucumberetc,21.553552627563477,101.758575
currant,95.60144805908203,397.733
flax,26.137428283691406,122.394966
fornes,4.704241752624512,25.217827
fruitnes,0.109592504799366,0.13126042
garlic,15.990368843078613,71.99445
gooseberry,96.63436126708984,443.62515
grape,0.23844587802886963,0.29845735
greenpea,55.038856506347656,258.3914
hemp,0.0,0.05434669
jutelikefiber,0.046133510768413544,0.3260735
legumenes,0.0,0.0
linseed,7.857096195220947,82.05575
maizefor,85.28057098388672,386.97333
maize,10114.056640625,44147.977
mixedgrain,217.88050842285156,746.5256
mixedgrass,7623.1298828125,30655.441
mustard,0.4255335032939911,2.465275
oats,7256.9072265625,33542.24
oilseedfor,0.0,0.0
oilseednes,693.5474853515625,5251.0596
onion,8.1184663772583,38.056633
peachetc,0.011610296554863453,0.011610297
pear,0.1703154444694519,0.26695114
pea,6660.09375,33635.266
plum,6.68753719329834,32.902355
popcorn,0.0,0.0
potato,801.056640625,3290.838
pulsenes,5.309971809387207,60.070084
rapeseed,10906.814453125,67390.47
rasberry,99.70037078857422,211.02194
rice,0.0,0.026710283
ryefor,0.0,0.0
rye,3238.277099609375,14807.359
sorghumfor,0.0,0.0
sorghum,0.035120997577905655,0.15168616
sourcherry,0.18929120898246765,0.23324022
soybean,7.14802360534668,21.752628
strawberry,267.20306396484375,856.4394
sugarbeet,44.93955993652344,184.35533
sunflower,502.712158203125,1468.7593
tomato,2.8853039741516113,12.4302635
triticale,776.3837890625,2614.08
tropicalnes,0.0,0.0
turnipfor,0.0,0.0
vegetablenes,511.4672546386719,2335.7114
vegfor,597.2740478515625,3217.4927
vetch,1.0246630907058716,1.5943834
walnut,0.015811722725629807,0.20005968
wheat,35927.140625,133525.38
