Crop,clipped_PA_surf,total_surf
abaca,0.5431585311889648,1.5406854
avocado,1.8698627948760986,10.535656
bambara,0.0,0.27753487
banana,440.7751770019531,2154.2144
bean,2.7657861709594727,10.369735
cabbagefor,0.0,0.0
cabbage,0.17427745461463928,1.2154062
carrotfor,0.0,0.0
carrot,0.0937032699584961,0.6119095
cassava,9651.6767578125,57865.105
chilleetc,0.0,0.11309202
citrusnes,48.86831283569336,203.82314
cocoa,247.68505859375,3987.2979
coconut,4.775749206542969,56.684914
coffee,35.840240478515625,303.75787
cotton,0.0,25.415308
cucumberetc,0.0,2.906201
eggplant,4.222166061401367,17.10668
fruitnes,1458.1328125,5255.839
grapefruitetc,0.6209015250205994,3.5846496
greenbean,1.0688409805297852,5.521575
groundnut,4258.06298828125,21072.646
kolanut,0.0,2.7559981
legumenes,0.0,0.0
lemonlime,0.8722665905952454,5.060502
lettuce,0.012522905133664608,0.1377175
maizefor,0.0,0.0
maize,5120.361328125,26486.086
mango,6.371279716491699,35.677666
melonetc,0.0,0.10974628
melonseed,17.60927963256836,96.93726
millet,0.0,1.5241082
oilpalm,792.6727294921875,5799.108
onion,0.0,0.18127349
orange,1.6461787223815918,9.402697
pea,16.183570861816406,86.94043
pimento,0.0,0.12002787
pineapple,24.37457847595215,97.98829
plantain,10919.919921875,51299.938
popcorn,0.0,0.0
potato,1.14342200756073,7.1388016
pulsenes,66.23348236083984,275.91284
pumpkinetc,0.0,2.7065763
rice,47.2858772277832,571.2863
rootnes,13.390290260314941,69.88821
rubber,2150.713134765625,7501.3594
sesame,1.4820365905761719,9.06943
sorghumfor,0.0,0.0
sorghum,0.0,11.298364
soybean,749.039306640625,4247.2134
sugarcane,781.4891357421875,4348.9673
sweetpotato,421.6927490234375,1953.1543
tangetc,1.3514453172683716,7.759058
taro,1943.713623046875,6832.1895
tea,0.0,0.9489012
tobacco,0.03383525833487511,1.6309808
tomato,6.231969833374023,30.783482
tropicalnes,0.0,0.0
turnipfor,0.0,0.0
vegetablenes,929.4813842773438,3436.3848
vegfor,1644.2725830078125,10076.591
watermelon,0.0,0.011727385
yam,6930.17041015625,36532.062
