Crop,clipped_PA_surf,total_surf
avocado,0.09696690738201141,0.5724456
bambara,94.26255798339844,202.58342
banana,18083.76171875,43540.676
bean,29.510028839111328,69.71586
beetfor,0.0,0.0
broadbean,8.561653137207031,19.284582
cashew,4600.09521484375,11525.418
cassava,140744.15625,279729.62
cerealnes,93.20702362060547,187.4891
chilleetc,9.862797737121582,17.075346
citrusnes,22166.765625,43160.863
cocoa,12290.97265625,33492.242
coconut,3187.877197265625,14031.248
coffee,39663.72265625,90244.78
cotton,19819.126953125,44607.594
cowpea,48.002017974853516,380.6211
eggplant,118.79774475097656,127.25616
fonio,294079.21875,558961.06
fruitnes,131.79000854492188,358.51685
greencorn,60691.58984375,124470.77
greenonion,37.77843475341797,38.91267
groundnut,430469.71875,966891.06
jutelikefiber,0.8641569018363953,1.3765388
karite,35.08610534667969,79.12088
kolanut,314.7267761230469,857.2193
legumenes,0.0,0.0
lemonlime,2.2421176433563232,5.1265817
maizefor,0.0,0.0
maize,335245.375,657066.56
mango,44948.2890625,87231.45
melonetc,1095.6473388671875,1562.8083
melonseed,2.5871787071228027,4.5925436
millet,72666.671875,174044.72
nutnes,10.529322624206543,32.776367
oilpalm,114611.640625,318043.03
oilseedfor,0.0,0.0
oilseednes,0.766394853591919,3.9738805
onion,2.0720396041870117,3.957529
orange,352.6663818359375,378.97473
papaya,47.118492126464844,48.415382
pea,20.393611907958984,45.850063
pepper,0.0,0.17256218
pimento,14.772147178649902,45.33152
pineapple,15672.974609375,29828.947
plantain,39479.81640625,93320.69
popcorn,0.0,0.0
potato,6748.71875,12097.011
pulsenes,32525.412109375,61176.594
rice,948422.0,1991437.2
rootnes,49.57481384277344,168.21915
rubber,5466.2275390625,11595.049
sesame,3447.60107421875,8213.06
sisal,961.6529541015625,1977.0984
sorghumfor,0.0,0.0
sorghum,22822.73046875,46967.535
soybean,22.8223876953125,127.28943
spicenes,3.5171844959259033,9.644282
sugarbeet,0.3041560649871826,0.7174079
sugarcane,2548.40234375,6467.824
sweetpotato,27772.02734375,57162.04
taro,13069.8203125,24584.656
tea,0.0,0.055154815
tobacco,972.651123046875,1964.8138
tomato,30.101089477539062,79.79109
tropicalnes,4423.2451171875,8356.377
vegetablenes,12997.04296875,27247.682
vegfor,30584.845703125,73707.21
wheat,9.850183486938477,13.428595
yam,9357.8623046875,20436.87
