Crop,clipped_PA_surf,total_surf
banana,6.437277793884277,18.100712
cashew,904.8096923828125,1702.0504
cassava,2912.1669921875,4554.2827
cerealnes,1415.9625244140625,2719.0728
coconut,5.076464653015137,12.2640705
cotton,808.4566040039062,2057.5234
cowpea,333.7351379394531,576.79803
fruitnes,1808.703369140625,2590.6667
greenbean,11.09972858428955,18.55692
groundnut,72625.0546875,139479.38
legumenes,0.0,0.0
maizefor,0.0,0.0
maize,21922.09375,46339.914
mango,279.29376220703125,437.6853
melonseed,87.54348754882812,146.73811
millet,64258.0078125,120266.27
nutnes,21.274364471435547,35.88794
oilpalm,2036.73046875,4020.3896
onion,87.69146728515625,142.17795
orange,35.168418884277344,54.90666
pimento,40.88887405395508,70.211655
popcorn,0.0,0.0
potato,1.6331340074539185,3.0895438
pulsenes,5801.75244140625,11377.7295
rice,46549.3203125,87867.97
sesame,1461.4376220703125,2566.4634
sorghumfor,0.0,0.0
sorghum,12862.5986328125,39782.188
sugarcane,16.438640594482422,31.359058
sweetpotato,10.93963623046875,12.979838
tomato,5.624017715454102,10.768258
tropicalnes,10.369129180908203,16.053648
vegetablenes,820.301513671875,1377.0109
vegfor,1336.843994140625,2659.9663
