Crop,clipped_PA_surf,total_surf
alfalfa,349.0229187011719,537.89746
almond,12578.2294921875,23963.527
aniseetc,260.6962890625,458.01944
apple,7594.43603515625,13959.976
apricot,6196.576171875,11284.257
artichoke,581.6962890625,1055.9015
asparagus,1125.4725341796875,1993.7655
avocado,573.7120971679688,1029.5718
banana,51.748870849609375,98.60785
barley,63612.640625,133023.84
bean,4641.556640625,9041.051
beetfor,3.4570376873016357,5.1186776
berrynes,23.378591537475586,43.269905
broadbean,1118.7430419921875,2433.5789
cabbagefor,0.0,0.0
cabbage,1633.74853515625,2981.88
carob,5686.40771484375,10477.109
carrotfor,0.0,0.0
carrot,522.5357055664062,952.2926
cauliflower,1469.002685546875,2659.6294
cerealnes,51.06867980957031,71.326256
cherry,10381.3271484375,18978.66
chestnut,5347.76123046875,9805.636
chickpea,1262.3563232421875,2504.8843
chilleetc,1829.321533203125,3315.7852
citrusnes,464.799072265625,851.3733
clover,6.220619201660156,10.602116
cotton,104826.6484375,250185.4
cowpea,4.923874855041504,11.335385
cucumberetc,1051.4150390625,1911.1614
currant,20.006717681884766,28.798704
date,0.9762366414070129,1.2540262
eggplant,847.13623046875,1542.1338
fig,2508.59228515625,4599.923
flax,89.82101440429688,162.46469
fruitnes,2347.81005859375,4169.9805
garlic,527.287841796875,962.44586
grapefruitetc,91.45588684082031,165.80846
grape,50229.53515625,95085.19
grassnes,27426.87109375,53860.71
greenbean,2156.5751953125,3937.0354
greenbroadbean,572.3687133789062,1043.8036
greencorn,19996.23046875,40067.15
greenonion,537.8104248046875,981.21136
greenpea,724.083251953125,1318.4137
groundnut,252.0886688232422,719.9469
hazelnut,543.52880859375,883.5746
hempseed,0.024628357961773872,0.024628358
hemp,0.0,0.0
hop,5.193241596221924,7.3591595
kiwi,5560.96484375,10158.847
legumenes,27167.0859375,53387.85
lemonlime,2314.79833984375,4195.7783
lentil,1566.599853515625,3211.3828
lettuce,2032.3804931640625,3702.9502
linseed,12.031930923461914,27.025867
lupin,3589.373291015625,12824.877
maizefor,3287.27099609375,5968.906
maize,55646.3125,108029.19
melonetc,1976.3443603515625,3607.688
melonseed,777.7372436523438,1419.8539
millet,20.85157012939453,40.169254
mixedgrain,616.090576171875,1124.4346
mustard,2.1791930198669434,3.0497656
nutnes,994.8167724609375,1406.6794
oats,20045.576171875,38929.688
oilseedfor,0.0,0.0
oilseednes,207.2147979736328,289.41046
okra,2.1432948112487793,2.7715278
olive,381918.03125,728328.9
onion,2641.65869140625,4829.492
orange,15676.58203125,30075.506
peachetc,22766.10546875,43832.15
pear,2977.206298828125,5454.111
pea,4677.40185546875,12378.986
pimento,34.75157165527344,63.531303
pistachio,2734.3466796875,4851.21
plum,1054.9599609375,1878.0032
popcorn,0.0,0.0
poppy,11.804203033447266,15.351983
potato,7771.5615234375,10766.37
pulsenes,42975.63671875,78319.88
pumpkinetc,1325.085693359375,2364.8193
quince,413.4599304199219,752.796
rapeseed,2710.98388671875,5814.556
rasberry,0.7449046969413757,1.0289304
rice,9509.7734375,36535.527
ryefor,0.0,0.0
rye,3520.19677734375,4859.001
sesame,75.42001342773438,133.26675
sorghumfor,336.73095703125,614.8269
sorghum,800.2244873046875,1689.074
sourcherry,86.35255432128906,150.20227
soybean,173.59091186523438,335.22266
spicenes,19.219818115234375,25.617538
spinach,3514.157958984375,6418.67
stonefruitnes,461.0868225097656,843.5468
strawberry,841.0181884765625,1530.8433
stringbean,2.534329891204834,3.2931585
sugarbeet,1072.7904052734375,1409.0938
sunflower,39515.234375,97269.26
sweetpotato,86.62098693847656,155.2763
tangetc,5187.75048828125,9465.396
tea,3.522484064102173,3.929241
tobacco,6395.353515625,12285.674
tomato,8453.484375,16181.713
triticale,638.4401245117188,638.4401
tropicalnes,2.3730263710021973,3.0536494
turnipfor,0.0,0.0
vegetablenes,1650.310546875,2980.3525
vegfor,608.980224609375,1150.7545
vetch,2618.870849609375,4762.95
walnut,10563.923828125,19449.947
watermelon,4787.49951171875,8860.787
wheat,173229.234375,355420.28
