Crop,clipped_PA_surf,total_surf
agave,66.96390533447266,105.714745
aniseetc,1.254387378692627,2.7841792
apple,29.62615966796875,66.59533
avocado,109.57823181152344,222.53442
banana,5223.51171875,10719.965
barley,0.0,0.07842402
bean,55256.4375,155421.52
beetfor,48.628326416015625,111.76489
broadbean,27.22060775756836,59.9404
cabbagefor,0.0,0.0
cabbage,1050.4947509765625,2411.4277
carrotfor,0.0,0.0
carrot,365.1590270996094,789.7991
cashew,602.4747924804688,1352.8094
cassava,1328.61083984375,3155.451
cauliflower,45.213157653808594,102.76752
chilleetc,632.05322265625,1395.4557
citrusnes,187.81918334960938,419.90393
cocoa,1343.3453369140625,3972.6929
coconut,613.7930908203125,1720.6594
coffee,128893.515625,317671.25
cotton,805.9907836914062,1796.9424
cucumberetc,257.75067138671875,588.36725
eggplant,278.6197509765625,641.4338
fruitnes,2452.9267578125,5627.037
garlic,18.351205825805664,40.584015
grapefruitetc,651.4065551757812,1495.2368
grape,10.80939769744873,23.593004
greenbroadbean,1.2197096347808838,2.7069383
groundnut,120.86970520019531,299.79315
jutelikefiber,59.28541946411133,94.60728
legumenes,0.0,0.0
lemonlime,359.0373840332031,788.0431
lettuce,52.276100158691406,119.700645
maizefor,0.0,0.0
maize,135774.390625,354717.12
mango,648.6737670898438,1464.6443
melonetc,2457.616943359375,5647.7017
nutmeg,468.9548645019531,1053.6794
nutnes,7.262920379638672,16.023407
oilpalm,39210.328125,201851.66
okra,1.0283992290496826,2.2808142
olive,65.77789306640625,104.985985
onion,257.419189453125,586.65765
orange,3910.2294921875,9138.63
papaya,5.762060642242432,11.553623
pepper,544.1181030273438,1251.3146
pineapple,833.386962890625,1899.5817
plantain,3874.165771484375,7800.5386
popcorn,0.0,0.0
potato,952.7379760742188,1801.7378
pulsenes,5.222043037414551,11.51725
pumpkinetc,485.349365234375,1117.6434
rice,7780.88671875,16343.647
rootnes,351.7085266113281,805.56067
rubber,43.767852783203125,89.98173
sesame,540.6796264648438,1154.1044
sorghumfor,0.0,0.0
sorghum,7394.3271484375,18229.531
soybean,245.7150421142578,594.3326
spicenes,0.7809290289878845,1.765772
strawberry,0.49214357137680054,1.1641214
sugarbeet,0.0,0.0
sugarcane,23400.46484375,59866.094
sweetpotato,1475.6160888671875,3217.5918
tangetc,4.3971428871154785,6.9874296
tea,7.348783016204834,9.900875
tobacco,1396.26220703125,3456.1582
tomato,621.3117065429688,1401.905
tropicalnes,0.0,0.0
turnipfor,0.0,0.0
vegetablenes,2522.21435546875,5779.341
vegfor,2203.75341796875,4564.573
watermelon,494.7022705078125,1115.399
wheat,1147.9583740234375,2236.2417
yam,0.11776852607727051,0.13014616
yautia,38.417518615722656,61.04492
