Crop,clipped_PA_surf,total_surf
abaca,250.89918518066406,667.7775
areca,54471.9921875,134714.19
avocado,18473.91015625,45674.508
banana,61268.94921875,151999.61
bean,119768.046875,191757.7
cabbagefor,0.0,0.0
cabbage,26457.96875,65373.613
carrotfor,0.0,0.0
carrot,16049.662109375,39661.797
cashew,204866.765625,507820.94
cassava,279646.59375,668337.9
castor,1400.605712890625,3456.6262
chilleetc,124102.75,306366.6
cinnamon,43790.62109375,108262.06
citrusnes,1.9500590562820435,3.1101327
clove,216849.421875,537033.25
cocoa,769482.1875,1536138.5
coconut,1256428.125,2648919.8
coffee,533373.75,1250157.6
cotton,1925.1708984375,2991.8386
cucumberetc,16551.373046875,40873.375
eggplant,18712.34765625,46267.344
fruitnes,40406.84765625,99708.95
garlic,5105.9365234375,12622.336
ginger,3052.30029296875,7541.3413
grapefruitetc,2.5507469177246094,4.1144605
greenbean,59939.16015625,119845.96
greencorn,43796.0234375,108250.24
groundnut,121832.984375,336608.97
jutelikefiber,2199.947509765625,5440.1904
kapokfiber,94182.46875,233586.17
kapokseed,65180.6328125,161558.08
legumenes,0.0,0.0
lemonlime,4.100325584411621,6.306897
maizefor,0.0,0.0
maize,2353111.75,3846340.2
mango,108167.6171875,267638.47
nutmeg,91255.90625,225156.3
nutnes,86327.078125,213287.78
oilpalm,2751322.5,14429778.0
oilseedfor,0.0,0.0
oilseednes,506.39263916015625,791.86035
onion,72995.34375,180384.94
orange,28693.64453125,70958.37
papaya,4580.037109375,11319.862
pepper,77258.1953125,190881.98
pimento,4.554118633270264,7.104182
pineapple,7979.11572265625,19695.633
popcorn,0.0,0.0
potato,44420.28515625,64450.348
pulsenes,974.5824584960938,2404.8765
pumpkinetc,3263.3828125,8054.5337
pyrethrum,5.714533805847168,11.734426
rice,5318188.5,10131600.0
rootnes,31369.283203125,77469.28
rubber,1466455.25,3435144.8
sisal,103.19223022460938,285.66196
sorghumfor,0.0,0.0
sorghum,0.8925834894180298,2.1198046
soybean,358679.4375,668688.2
spicenes,3009.333984375,7409.13
spinach,18143.76953125,43191.977
sugarcane,158314.96875,405347.9
sugarnes,29645.177734375,73303.375
sweetpotato,41512.84765625,71556.41
taro,123.058837890625,255.66566
tea,68502.21875,108067.15
tobacco,127462.5703125,208536.27
tomato,22805.533203125,56338.93
tropicalnes,66444.765625,164546.75
turnipfor,0.0,0.0
vanilla,5808.34912109375,14292.091
vegetablenes,20074.53125,49531.63
vegfor,36085.54296875,63799.25
watermelon,12429.8984375,21534.678
yam,133.2086639404297,187.72427
