Crop,clipped_PA_surf,total_surf
agave,5749.76513671875,15547.312
alfalfa,51967.46875,142308.12
almond,8.830686569213867,33.732777
aniseetc,1652.53466796875,6588.3096
apple,19714.51171875,54794.92
apricot,74.4888687133789,204.37183
artichoke,119.09712219238281,265.1281
asparagus,15545.4033203125,30486.09
avocado,93664.765625,208775.61
banana,38904.28515625,74328.22
barley,114122.953125,274018.28
bean,489047.78125,1535233.9
beetfor,0.0,0.0
berrynes,5031.64990234375,8270.063
blueberry,1332.3824462890625,4552.3984
broadbean,10630.31640625,23118.025
buckwheat,0.4311447739601135,1.0814381
cabbagefor,0.0,0.0
cabbage,2945.294921875,7348.4653
canaryseed,0.5153450965881348,1.8506852
carob,29.91525650024414,84.45462
carrotfor,0.0,0.0
carrot,4336.4951171875,12088.0205
cashew,386.875,1568.918
cassava,424.4978942871094,1965.8965
castor,436.7129211425781,986.4682
cauliflower,11457.9912109375,33830.523
cherry,26.089584350585938,48.179115
chickpea,31991.537109375,62775.367
chilleetc,63109.78125,153837.64
citrusnes,29337.919921875,65446.758
clover,32.35235595703125,44.66332
cocoa,13514.716796875,59581.31
coconut,81976.8203125,120900.22
coffee,417448.375,633409.2
cotton,45249.85546875,145285.52
cowpea,22.641878128051758,70.92129
cranberry,0.07449997216463089,0.15053354
cucumberetc,7921.03759765625,15719.761
date,1859.414306640625,2961.7085
eggplant,734.6890258789062,1712.4928
fig,768.0231323242188,1808.4271
fornes,9730.5068359375,21722.498
fruitnes,28729.916015625,69787.445
garlic,1572.323486328125,6804.7915
grapefruitetc,7812.53955078125,19691.432
grape,12904.529296875,33754.047
grassnes,127458.2890625,288476.25
greenbean,4205.333984375,10354.882
greenbroadbean,4691.9833984375,8284.992
greencorn,29574.298828125,67874.84
greenonion,4093.732666015625,9135.852
greenpea,5801.13623046875,12950.031
groundnut,26459.109375,57608.54
jutelikefiber,1.2187731266021729,1.5762564
legumenes,0.0,0.0
lemonlime,80811.953125,177680.83
lentil,6574.67822265625,9021.493
lettuce,10019.6328125,25650.148
linseed,6.994002342224121,7.785681
maizefor,43007.91015625,141926.86
maize,2820739.0,6081975.5
mango,100966.2109375,202280.03
melonetc,8095.17138671875,18923.67
melonseed,20.238216400146484,24.52069
millet,10.649869918823242,23.52745
mixedgrass,1830.5323486328125,3863.784
nutmeg,159.9481964111328,213.51038
nutnes,28826.341796875,64317.14
oats,12249.79296875,29578.12
oilpalm,44815.33203125,100202.46
okra,523.144287109375,4214.689
olive,3568.926513671875,8030.5654
onion,17592.23046875,48527.137
orange,117974.0625,302299.22
papaya,8126.17041015625,18785.031
peachetc,9299.8427734375,26136.064
pear,1745.7000732421875,3676.293
pea,871.4104614257812,1812.0198
pepper,1643.013671875,3676.3264
persimmon,11.984331130981445,13.981123
pimento,619.1528930664062,2823.851
pineapple,9164.59375,24430.486
pistachio,97.31741333007812,275.14774
plantain,142.1725311279297,231.85626
plum,6376.16455078125,15985.013
popcorn,0.0,0.0
potato,38291.4296875,60159.883
pulsenes,169.74176025390625,227.77742
pumpkinetc,15362.6962890625,33808.453
quince,139.4783477783203,677.44196
rapeseed,884.5371704101562,3062.2148
rasberry,2299.599365234375,7731.123
rice,18527.798828125,46887.51
rootnes,3467.98046875,7746.4873
rubber,11874.677734375,31312.361
ryefor,6147.3740234375,15952.744
rye,15.894124984741211,34.09126
safflower,19781.759765625,46918.098
sesame,37234.59765625,76492.05
sisal,4050.549072265625,9025.565
sorghumfor,37969.234375,91757.836
sorghum,502005.125,1488349.8
soybean,106885.046875,152033.42
spicenes,232.2760467529297,553.058
spinach,1315.00537109375,3100.8428
strawberry,7425.83837890625,12929.109
stringbean,5369.35302734375,11987.148
sugarbeet,143.2654571533203,190.32085
sugarcane,327762.875,699336.06
sunflower,1513.312255859375,6078.5107
sweetpotato,1820.832763671875,3742.47
tangetc,12924.548828125,34952.504
tea,2.0671825408935547,2.4334424
tobacco,5620.533203125,6462.9937
tomato,34719.69921875,81730.766
triticale,5963.67822265625,8603.3545
tropicalnes,12103.490234375,42851.016
turnipfor,192.25711059570312,655.66284
vanilla,668.6177368164062,1051.2999
vegetablenes,20929.55859375,46704.95
vegfor,45606.984375,102111.016
vetch,4005.011962890625,8941.661
walnut,40381.796875,92518.86
watermelon,16108.30078125,38642.29
wheat,309583.0625,551091.4
yam,3276.839111328125,7684.694
yautia,181.5577392578125,525.03845
