Crop,clipped_PA_surf,total_surf
alfalfa,4562.3828125,9516.952
almond,295.4703063964844,554.7979
aniseetc,15.602981567382812,468.2357
apple,5560.55322265625,11643.693
apricot,223.57745361328125,431.28705
artichoke,2.836566686630249,3.700755
asparagus,82.63629913330078,162.2961
avocado,1.7435743808746338,2.1334808
banana,0.2232832908630371,0.2960775
barley,21617.7734375,46296.242
bean,1972.44677734375,5069.9844
beetfor,250.33108520507812,505.0016
berrynes,0.18093353509902954,0.31663486
broadbean,3967.491943359375,8391.943
cabbagefor,0.0,0.0
cabbage,2638.7890625,5428.7534
carob,21.91098976135254,27.889997
carrotfor,0.0,0.0
carrot,199.61679077148438,401.1388
cauliflower,24.505496978759766,37.13352
cerealnes,0.23742642998695374,10.302333
cherry,3043.595703125,6179.924
chestnut,396.742919921875,789.5512
chickpea,591.83203125,875.34265
chicory,0.3110470175743103,0.32772475
chilleetc,4308.87841796875,9044.065
citrusnes,1.4138164520263672,1.6736236
clover,1259.159912109375,2550.5688
cotton,471.8509521484375,529.4542
cowpea,1050.3092041015625,2016.5034
cucumberetc,613.1942749023438,1240.6256
currant,0.0,2.7344337
eggplant,14.81760025024414,30.713509
fig,36.25270080566406,42.858986
flax,0.3138364553451538,0.3637966
fruitnes,38.016258239746094,200.16605
garlic,482.6581726074219,983.8613
grapefruitetc,0.39144107699394226,0.4611196
grape,10832.9248046875,22363.775
grassnes,224.0861358642578,328.74655
greenbean,6866.73291015625,14806.107
greenbroadbean,2.2066071033477783,3.161247
greencorn,169.27366638183594,195.32033
greenonion,47.657867431640625,96.208725
greenpea,538.0555419921875,1088.8796
groundnut,1.0787404775619507,1.1960707
hazelnut,1.6442266702651978,2.139774
hempseed,0.23116406798362732,0.30836618
hemp,0.2316845804452896,0.30906087
hop,2.1631057262420654,2.6212158
kiwi,18.113718032836914,22.658983
legumenes,1984.108642578125,3907.5898
lemonlime,10.935887336730957,14.272138
lentil,39.59752655029297,71.95189
lettuce,9.89510440826416,14.425059
linseed,2.9497458934783936,2.9732373
lupin,120.57537841796875,120.593346
maizefor,1280.9375,2572.4375
maize,14061.4482421875,34254.477
melonetc,36.8404541015625,51.402523
melonseed,2.914311408996582,3.690241
millet,19.22861671447754,25.700073
mixedgrain,2.0655887126922607,2.560769
mustard,0.042121194303035736,2.2028005
nutnes,13.345708847045898,15.408846
oats,1682.842529296875,3489.9553
oilseedfor,0.0,0.0
oilseednes,0.061869461089372635,2.6677036
olive,4860.0615234375,8090.8237
onion,1778.2147216796875,3656.6355
orange,76.97172546386719,97.63315
peachetc,893.531494140625,1732.9242
pear,2352.213134765625,4781.563
pea,519.8890380859375,965.04034
pimento,5.392831325531006,7.412156
pistachio,9.350653648376465,11.898584
plum,3945.71484375,8031.403
popcorn,0.0,0.0
poppy,39.380062103271484,78.03943
potato,5563.4736328125,12804.485
pulsenes,182.09983825683594,249.21344
pumpkinetc,5.1774725914001465,8.953878
quince,78.9390869140625,156.50827
rapeseed,53.148624420166016,81.69457
rasberry,56.972869873046875,74.22128
rice,2343.5234375,3263.5662
ryefor,0.0,0.0
rye,1908.6845703125,3936.4
sesame,19.943527221679688,40.518036
sorghumfor,1.2570693492889404,1.5765355
sorghum,37.229984283447266,44.442604
sourcherry,873.41455078125,1747.247
soybean,31.637039184570312,45.154335
spicenes,23.74015235900879,33.139038
spinach,14.475768089294434,19.96607
stonefruitnes,1.7538940906524658,2.2234793
strawberry,432.0120849609375,862.6088
sugarbeet,89.25045013427734,146.44464
sunflower,2508.397216796875,5193.827
sweetpotato,0.03332088887691498,0.03332089
tangetc,17.81082534790039,22.441862
tobacco,7258.0908203125,15816.83
tomato,2662.589599609375,5529.62
triticale,1407.1861572265625,1432.9038
tropicalnes,0.0,0.0
turnipfor,0.0,0.0
vegetablenes,258.4398498535156,459.64075
vegfor,910.1478271484375,1979.8923
vetch,1077.1044921875,2170.1636
walnut,4167.404296875,8490.403
watermelon,2557.37744140625,5360.0273
wheat,34548.9296875,72616.31
