Crop,clipped_PA_surf,total_surf
almond,6.285667896270752,11.044823
aniseetc,60.79475402832031,183.54529
apple,2882.90625,5079.6914
apricot,29.46354866027832,90.33509
areca,581.6007690429688,794.5425
asparagus,0.32169023156166077,0.32169023
banana,3798.56689453125,6697.866
barley,15231.646484375,23822.482
bean,12164.119140625,20575.326
broadbean,1158.6383056640625,1196.7473
buckwheat,1866.6866455078125,1928.1201
cabbagefor,0.0,0.0
cabbage,44.59172439575195,125.12195
carrotfor,0.0,0.0
carrot,6.0735087394714355,14.289176
cashew,4.59334659576416,6.9691315
cassava,333.3699645996094,950.4759
castor,0.6179523468017578,0.61795235
cauliflower,12.996796607971191,42.438553
cerealnes,0.0,0.0
cherry,0.12266648560762405,0.38546082
chestnut,0.20468991994857788,0.20468992
chickpea,5990.181640625,9682.708
chilleetc,5711.93310546875,10052.832
cinnamon,0.0,0.0
citrusnes,174.21286010742188,480.4425
coconut,197.68203735351562,314.6166
coffee,1683.4984130859375,2623.9058
cotton,72.8643798828125,133.07787
cucumberetc,4.843359470367432,10.88616
eggplant,121.1519775390625,289.286
fig,0.31296563148498535,0.98315436
flax,0.1723492443561554,0.17234924
fornes,1106.30322265625,3407.4292
fruitnes,17894.6484375,31249.273
garlic,4780.44921875,8479.062
ginger,12195.5419921875,21343.434
grapefruitetc,1.066046953201294,3.4724236
grassnes,4532.9326171875,7915.658
greenbean,18.130470275878906,40.978043
greenpea,74.46885681152344,175.24883
groundnut,59.63438034057617,156.12491
jutelikefiber,25.826061248779297,166.94344
jute,3822.360107421875,7021.7207
legumenes,0.0,0.0
lemonlime,326.6482849121094,1491.728
lentil,107090.546875,200486.66
lettuce,118.46402740478516,291.10736
linseed,5548.7041015625,10003.146
maizefor,0.0,0.0
maize,519023.78125,923701.94
mango,4362.06640625,14128.336
melonetc,7.979602813720703,18.727882
melonseed,0.0,0.0
millet,148240.203125,259813.66
mustard,103589.015625,176650.97
nutmeg,8980.6337890625,15717.226
oats,6.895680904388428,7.1058645
oilpalm,0.011081709526479244,0.0110817095
oilseedfor,0.0,0.0
oilseednes,732.7007446289062,5983.2344
okra,82.38392639160156,278.73953
onion,22.581165313720703,81.3615
orange,2411.96044921875,4240.003
papaya,133.87841796875,380.95148
peachetc,180.22865295410156,543.4824
pear,249.33644104003906,750.1725
pea,310.1510314941406,802.89545
pigeonpea,10918.7470703125,16462.666
pimento,9049.6572265625,16039.655
pineapple,142.08729553222656,337.3586
plum,190.3873291015625,572.9827
popcorn,0.0,0.0
potato,101778.875,180464.48
pulsenes,38253.0,67322.164
pumpkinetc,91.37494659423828,215.21326
ramie,0.1839975118637085,0.18399751
rapeseed,100173.7265625,193489.16
rice,820495.25,1383560.4
rootnes,16907.63671875,29527.152
rubber,1.1543530225753784,1.154353
ryefor,0.0,0.0
rye,9.533236503601074,9.83598
safflower,0.0,0.0
sesame,25.429054260253906,102.687416
sorghumfor,0.0,0.0
sorghum,12.368303298950195,50.660267
soybean,20890.09765625,28972.322
spicenes,1109.948486328125,2214.8555
spinach,0.1679874062538147,0.1679874
sugarcane,32943.43359375,60107.242
sunflower,34.62416458129883,139.78452
sweetpotato,10.234375953674316,33.407448
tangetc,2501.241455078125,2560.1042
taro,0.1425502896308899,0.14255029
tea,15498.607421875,26465.572
tobacco,459.7162170410156,833.77203
tomato,2.040935754776001,5.920365
triticale,2.9395511150360107,2.988678
tropicalnes,26.541147232055664,97.70433
tung,0.26867353916168213,0.26867354
turnipfor,0.0,0.0
vegetablenes,33934.2734375,58079.395
vegfor,139674.5,243828.64
walnut,252.62881469726562,716.37067
watermelon,5.569887161254883,12.265069
wheat,373353.3125,661797.9
yam,12085.15625,22088.807
