Crop,clipped_PA_surf,total_surf
almond,1052.62548828125,7843.5967
aniseetc,36.311851501464844,132.08424
apple,13047.2529296875,58683.137
apricot,2276.39208984375,14449.163
banana,12030.8408203125,32510.22
barley,19971.275390625,48677.74
bean,86397.640625,225612.2
beetfor,0.0,0.0
berrynes,74.5516357421875,227.72813
cabbagefor,0.0,0.0
cabbage,1809.3126220703125,5490.265
carrotfor,0.0,0.0
carrot,5587.07568359375,16955.15
cassava,3.0675692558288574,8.275564
castor,540.054443359375,3005.2615
cauliflower,3327.061279296875,10108.353
cherry,309.88690185546875,941.53156
chickpea,526489.625,934833.1
chilleetc,9176.25,34479.504
citrusnes,0.8302111029624939,3.196169
coconut,390.4755554199219,1409.7798
cotton,664771.6875,2084229.1
cucumberetc,719.7109375,2181.4565
date,27780.58984375,100069.37
eggplant,2315.0859375,7038.4326
fig,20.33981704711914,64.41312
fornes,765.1686401367188,2727.5981
fruitnes,51421.625,155817.6
garlic,2176.352783203125,9108.098
grapefruitetc,0.6501075029373169,2.4604886
grape,2368.789794921875,14428.588
greenbean,619.5429077148438,1882.8031
greenpea,9441.3076171875,28598.764
groundnut,50578.30078125,132501.62
jutelikefiber,860.0353393554688,2615.6736
legumenes,0.0,0.0
lemonlime,3805.1025390625,11539.694
lentil,3664.09423828125,9877.101
lettuce,30.669246673583984,101.82265
linseed,701.4636840820312,2362.6125
maizefor,0.0,0.0
maize,448111.09375,1254616.9
mango,56751.83984375,199801.02
melonetc,791.25927734375,2420.0176
millet,108059.890625,322370.22
nutmeg,11.785953521728516,42.61888
nutnes,1370.2001953125,4158.977
okra,8142.14501953125,24682.182
olive,5.9905853271484375,17.060684
onion,38271.05859375,138850.88
orange,44371.1484375,133433.22
papaya,531.7102661132812,1615.1969
peachetc,1316.8641357421875,11196.996
pear,89.51388549804688,1171.4698
pea,8968.943359375,33482.598
pigeonpea,0.9282428026199341,5.0402174
pimento,22335.771484375,67862.9
pistachio,46.024925231933594,142.98085
plum,451.6544494628906,5055.628
popcorn,0.0,0.0
potato,42958.28125,174296.9
pulsenes,8105.74853515625,24546.771
pumpkinetc,8810.3291015625,26762.451
rapeseed,106086.078125,375108.56
rice,910897.5625,3117033.0
rootnes,7200.7685546875,21882.693
safflower,97.2325439453125,294.88605
sesame,45321.28515625,159568.08
sorghumfor,0.0,0.0
sorghum,45841.70703125,127794.64
soybean,10.1109619140625,105.29816
spicenes,5458.2158203125,16681.195
spinach,2095.37548828125,6367.1562
sugarbeet,194.13722229003906,478.41705
sugarcane,368364.4375,1052302.1
sunflower,33663.62890625,96955.52
sweetpotato,603.3977661132812,1750.1411
tangetc,16624.39453125,50496.617
tea,56.998600006103516,205.1066
tobacco,21624.494140625,50235.438
tomato,15042.419921875,55415.617
tropicalnes,21589.25,65572.41
turnipfor,0.0,0.0
vegetablenes,21852.15625,66372.33
vegfor,21768.22265625,65829.375
walnut,542.380126953125,1650.2177
watermelon,12172.7353515625,36951.57
wheat,2862779.25,8549477.0
yam,4741.63427734375,14167.352
