Crop,clipped_PA_surf,total_surf
abaca,73071.9296875,135677.88
agave,2171.016357421875,4000.4485
asparagus,88.89997863769531,174.75136
avocado,2790.772705078125,5145.4424
banana,95328.6015625,190407.52
bean,20637.5546875,40549.35
cabbagefor,0.0,0.0
cabbage,4265.10546875,7861.7935
cashew,15500.2109375,28467.346
cassava,109678.5,212196.22
castor,21.25275993347168,52.28437
chilleetc,2785.4658203125,5129.743
cocoa,14176.16015625,29186.56
coconut,1567229.375,3473673.8
coffee,51772.19140625,112055.05
cotton,4.1095123291015625,7.472148
cowpea,114.24219512939453,240.03424
cucumberetc,1039.01220703125,1913.1514
eggplant,11553.7373046875,21285.098
fibrenes,494.5608825683594,912.34314
fornes,37747.0234375,70206.63
fruitnes,87441.2109375,159629.89
garlic,1364.4517822265625,2536.978
ginger,2089.758056640625,3848.8525
grapefruitetc,2771.049560546875,5101.159
grape,194.69227600097656,360.83075
greenbean,1585.618408203125,2924.102
greenpea,914.3317260742188,1729.8307
groundnut,12540.361328125,23146.676
legumenes,0.0,0.0
lemonlime,305.2662353515625,603.89417
maizefor,0.0,0.0
maize,1294212.75,2524434.8
mango,100300.8046875,186398.19
melonetc,540.0144653320312,997.0585
nutnes,1304.639404296875,2463.5671
oilpalm,38418.94921875,64149.324
oilseedfor,0.0,0.0
oilseednes,8823.0166015625,16294.077
onion,9609.8974609375,17649.701
orange,716.8558349609375,1342.1139
papaya,4124.17822265625,7595.6826
pigeonpea,210.1101837158203,438.22552
pineapple,34952.38671875,64392.652
popcorn,0.0,0.0
potato,7066.0126953125,7244.0664
pulsenes,19379.41015625,35792.125
pumpkinetc,10224.400390625,18741.031
ramie,1241.4451904296875,2290.1484
rice,2310716.5,4596485.5
rootnes,3566.82666015625,6645.5977
rubber,117266.0859375,216513.56
sorghumfor,0.0,0.0
sorghum,58.499698638916016,110.1109
soybean,193.8359832763672,390.37204
sugarcane,186759.890625,391498.06
sweetpotato,39853.89453125,81674.414
tangetc,4612.83154296875,8533.562
taro,8043.01171875,14861.745
tobacco,9336.341796875,27087.385
tomato,8761.0078125,16155.931
tropicalnes,186011.5625,351642.34
vegetablenes,71710.8671875,136890.9
vegfor,298362.25,570487.25
watermelon,4513.33984375,8285.265
yam,1167.3223876953125,2412.33
