Crop,clipped_PA_surf,total_surf
alfalfa,5488.2021484375,27734.504
almond,0.017924105748534203,0.6622191
apple,0.07579541951417923,0.6025654
apricot,0.6416034698486328,3.6101718
banana,1.892771601676941,10.506181
barley,11018.763671875,76094.38
bean,0.014767936430871487,0.21801153
broadbean,0.8324748873710632,4.791566
cabbagefor,0.0,0.0
cabbage,73.02149963378906,264.16135
carrotfor,0.0,0.0
carrot,199.94952392578125,1272.9548
chickpea,3.703721284866333,27.143538
chilleetc,211.12484741210938,826.1563
citrusnes,56.54903030395508,352.00143
coffee,24.562458038330078,83.16745
cotton,9.310060501098633,50.122746
cucumberetc,158.33682250976562,711.2592
date,28287.740234375,138876.6
eggplant,1112.458251953125,3988.4187
fig,0.07918800413608551,0.48188928
fornes,5789.01416015625,29331.94
fruitnes,7843.20263671875,38857.81
garlic,0.16654019057750702,0.95988464
grape,1869.603759765625,8734.562
grassnes,3.4198498725891113,19.559797
greenbean,57.31676483154297,236.86024
groundnut,451.564208984375,994.8529
legumenes,0.0,0.0
lemonlime,296.4698791503906,1117.2731
lentil,0.06045223027467728,0.59221816
lettuce,57.5143928527832,215.46654
maizefor,0.0,0.0
maize,5659.93017578125,13180.526
mango,724.1376953125,2808.552
melonetc,353.52581787109375,2383.9448
millet,1385.383544921875,5366.5767
okra,658.08203125,2361.1528
onion,834.492431640625,6430.65
orange,2.5580646991729736,14.50789
papaya,0.7839720845222473,4.4073935
peachetc,0.18545188009738922,1.1249466
pear,0.0,0.08132931
pea,0.33908578753471375,1.9361136
popcorn,0.0,0.0
potato,2644.349365234375,18818.467
pulsenes,1032.408447265625,4686.8115
pumpkinetc,475.5595397949219,2326.316
quince,0.013340945355594158,0.12353898
sesame,1511.3968505859375,2906.0051
sorghumfor,13.216222763061523,51.96383
sorghum,21062.390625,56003.508
sweetpotato,0.0,0.016050585
tangetc,0.45150721073150635,2.556598
tobacco,0.0,0.0
tomato,3140.980712890625,12097.457
tropicalnes,0.09378717094659805,0.55559796
turnipfor,0.0,0.0
vegetablenes,2766.2080078125,13987.968
vegfor,2230.492919921875,14061.146
watermelon,3823.19482421875,22157.139
wheat,10865.45703125,82308.27
