Crop,clipped_PA_surf,total_surf
aniseetc,0.01543541718274355,0.05227781
apple,0.014635995030403137,0.014635995
avocado,0.8444656729698181,4.6221457
banana,647.2677612304688,1251.1364
barley,14.187408447265625,35.896576
bean,38467.734375,86453.32
berrynes,0.01427850965410471,0.01427851
cabbagefor,0.0,0.0
cabbage,4.586178779602051,38.053062
carrotfor,0.0,0.0
carrot,0.3402462601661682,3.5833392
cashew,0.15074928104877472,1.5724349
cassava,3696.565673828125,9691.206
castor,2.4260120391845703,13.923655
chickpea,1.0643218755722046,2.949026
chilleetc,0.05483914911746979,0.30121273
citrusnes,1.3078460693359375,13.769775
clove,0.08843549340963364,0.82335466
coconut,1584.445068359375,4298.163
coffee,0.0,49.198498
cotton,8597.5859375,17798.518
cowpea,0.3787589967250824,1.3988428
date,726.708984375,2454.806
fibrenes,21.875625610351562,43.452824
fruitnes,5590.75,16284.227
garlic,0.36946502327919006,0.7448702
ginger,0.0,0.034164652
grapefruitetc,283.974365234375,961.04565
grape,0.0868561863899231,0.2110464
greenbean,0.5422280430793762,5.5148396
greenbroadbean,0.0,0.031277474
greenonion,0.12676550447940826,0.2924803
greenpea,0.5750249624252319,6.0476646
groundnut,2925.942626953125,7333.433
jutelikefiber,0.09170971810817719,0.22287765
legumenes,0.0,0.0
lemonlime,1.334625482559204,2.84777
lentil,0.0,0.02049855
lettuce,0.025366881862282753,0.07401402
linseed,0.06300323456525803,0.40960717
maizefor,0.0,0.0
maize,44858.390625,99620.59
mango,4.000484943389893,28.621908
millet,1.5895936489105225,8.895725
mustard,0.21445466578006744,0.4444331
nutmeg,0.0,0.014558406
nutnes,5.960347652435303,13.550365
oats,0.28070366382598877,2.9583578
oilseedfor,0.0,0.0
oilseednes,5.895987510681152,61.916553
okra,0.06207919120788574,0.3833002
onion,363.5837707519531,1232.0969
orange,297.7320861816406,1009.2136
papaya,1.3729784488677979,7.381443
pear,0.05499371513724327,0.30205294
pepper,0.04290684312582016,0.16593935
pigeonpea,9.754656791687012,125.23349
pimento,27.244712829589844,57.649017
pineapple,0.9949126839637756,10.454964
plantain,0.06070690602064133,0.10589099
plum,0.056142352521419525,0.30829698
popcorn,0.0,0.0
potato,0.3139280676841736,1.1113678
pulsenes,7.772092819213867,64.73078
pyrethrum,0.8003167510032654,8.412412
rice,611.838623046875,1385.3004
rootnes,42.45806121826172,84.97327
safflower,6.664549827575684,13.228234
sesame,11108.59375,31524.814
sisal,1.895330786705017,19.48527
sorghumfor,0.0,0.0
sorghum,21678.8125,42826.996
soybean,0.6609708666801453,1.3222873
spicenes,0.13585904240608215,1.4182322
spinach,0.13746875524520874,1.4349023
sugarcane,3105.929443359375,6162.121
sunflower,0.9088795781135559,9.551927
sweetpotato,430.21044921875,850.12225
tangetc,0.10202907770872116,0.24803278
tea,0.32889196276664734,0.6690068
tobacco,183.8417510986328,355.45474
tomato,11.039440155029297,93.89848
tropicalnes,0.5132373571395874,3.3306985
turnipfor,0.0,0.0
vegetablenes,3596.865966796875,11564.526
vegfor,9405.3876953125,17566.104
watermelon,300.3150329589844,1015.3021
wheat,1723.4053955078125,2479.2808
yam,27.573081970214844,47.072582
