Crop,clipped_PA_surf,total_surf
alfalfa,3107.98779296875,41910.4
almond,4.228593826293945,11.251563
aniseetc,29.84126853942871,190.49213
apple,2883.13818359375,24913.984
apricot,641.9487915039062,5376.6094
artichoke,0.0,0.11898535
asparagus,0.44977879524230957,2.4917598
barley,11208.486328125,97102.305
bean,873.2393798828125,8692.1
beetfor,821.0589599609375,6863.7856
berrynes,31.69063949584961,180.86137
blueberry,0.1121843159198761,1.4180151
broadbean,440.23468017578125,8071.9434
buckwheat,0.08472928404808044,1.1218854
cabbagefor,0.0,0.0
cabbage,897.2193603515625,7711.523
canaryseed,1.6824291944503784,21.310898
carob,0.962067723274231,3.2215457
carrotfor,0.0,0.0
carrot,324.35174560546875,2728.3616
cauliflower,0.1082165315747261,1.332212
cerealnes,235.5010986328125,1328.7224
cherry,507.1755065917969,4232.001
chestnut,46.291812896728516,383.78455
chickpea,7.072174549102783,19.95416
chicory,11.160000801086426,101.870575
chilleetc,1167.986083984375,9962.201
clover,6617.5048828125,57675.84
cowpea,580.31787109375,4605.0693
cranberry,0.0,0.0
cucumberetc,217.3235321044922,800.9598
currant,0.3195715844631195,4.186935
eggplant,5.141524314880371,19.79105
fig,131.66287231445312,981.8646
flax,0.0,0.0
fornes,0.7285733222961426,7.5693398
fruitnes,286.07501220703125,1873.4601
garlic,168.4912109375,1419.6333
gooseberry,0.26732930541038513,3.3871837
grape,1031.0770263671875,18806.123
grassnes,112.21678161621094,1181.9246
greenbean,1843.852783203125,10955.217
greenbroadbean,0.03638402000069618,0.29783344
greencorn,177.65859985351562,2927.301
greenonion,0.829373300075531,2.1573148
greenpea,713.2288818359375,6019.667
groundnut,2.0033040046691895,7.6478114
hazelnut,301.8276672363281,1116.0176
hempseed,19.1658935546875,168.52007
hemp,19.18319320678711,168.58893
hop,2.11405611038208,27.103796
legumenes,720.3382568359375,5840.419
lentil,0.19978663325309753,1.0706977
lettuce,5.17676305770874,21.95463
linseed,0.8578348159790039,9.157608
lupin,0.13144776225090027,1.6661028
maizefor,2524.84912109375,21538.006
maize,85584.296875,798041.4
melonetc,11.95490550994873,120.230446
millet,4.3018412590026855,70.121735
mixedgrain,394.9751281738281,1323.0782
mixedgrass,65.1685562133789,632.4251
mustard,85.31236267089844,803.06915
nutnes,4.025460243225098,4.3514633
oats,885.411376953125,16234.512
oilseedfor,0.0,0.0
oilseednes,24.115293502807617,1006.6157
olive,0.0,0.0
onion,501.343994140625,4288.3467
orange,57.66790771484375,474.7893
peachetc,823.5821533203125,6922.5757
pear,607.6522216796875,5127.8394
pea,1368.246826171875,11569.264
pimento,411.79681396484375,3463.7417
plum,7919.53857421875,69012.81
popcorn,0.0,0.0
poppy,107.30474853515625,899.02045
potato,4026.181396484375,30068.287
pulsenes,37.96202087402344,1584.2802
pumpkinetc,8.01955509185791,77.1257
quince,225.7680206298828,1906.6633
rapeseed,982.6625366210938,20715.494
rasberry,2655.398193359375,22584.48
rice,2.643726348876953,17.92138
ryefor,0.0,0.0
rye,134.02964782714844,4483.303
safflower,0.05124616622924805,0.64036417
sesame,0.09946510940790176,0.1102669
sorghumfor,0.0,0.0
sorghum,158.28329467773438,2472.7288
sourcherry,2220.240234375,19161.508
soybean,23314.45703125,221924.47
spicenes,0.8244147896766663,1.9095103
spinach,0.07842585444450378,0.81407005
strawberry,775.893798828125,6534.47
sugarbeet,4012.745849609375,36250.953
sunflower,20146.4140625,194338.22
tangetc,4.3848772048950195,14.687649
tobacco,583.7556762695312,6307.621
tomato,871.658935546875,7436.8486
triticale,1576.4190673828125,26669.207
tropicalnes,0.0,0.0
turnipfor,0.5387797951698303,6.825387
vegetablenes,172.298583984375,616.11505
vegfor,712.0103149414062,6807.5024
vetch,995.0471801757812,8150.303
walnut,377.6042175292969,3187.098
watermelon,638.9437866210938,5445.0386
wheat,51937.31640625,549309.8
