Crop,clipped_PA_surf,total_surf
apple,283.5638732910156,1420.7437
barley,55739.90625,286944.06
bean,141.45680236816406,579.9407
beetfor,0.0,0.0
berrynes,18.137205123901367,88.17377
blueberry,8.480167388916016,40.91779
cabbagefor,0.048645950853824615,0.0993285
cabbage,151.36016845703125,756.9218
carrotfor,0.0,0.0
carrot,355.5050048828125,1781.807
cauliflower,142.4087677001953,711.66724
cherry,35.974952697753906,177.63875
cucumberetc,45.615238189697266,227.02623
currant,55.27165603637695,275.59277
fornes,2.5974767208099365,5.542281
gooseberry,0.01095586083829403,0.022341322
greenbean,8.41565990447998,17.822191
greenonion,0.1240776851773262,0.25340813
greenpea,983.2359619140625,4933.886
legumenes,0.0,0.0
lettuce,388.1712951660156,1945.3826
linseed,484.158935546875,2429.7473
maizefor,0.0,0.0
maize,918.4381713867188,2463.8481
mixedgrain,2685.598876953125,13539.624
mixedgrass,13000.3330078125,65531.613
oats,17307.4453125,158850.61
onion,274.9924621582031,1378.6425
pear,22.690303802490234,110.537186
pea,4368.8330078125,21971.756
plum,8.39677619934082,40.342163
popcorn,0.0,0.0
potato,5877.86962890625,23670.441
rapeseed,20267.86328125,95423.6
rasberry,24.027524948120117,116.58273
rice,135.18942260742188,196.61421
ryefor,3.240952730178833,6.91487
rye,5689.06591796875,28176.5
soybean,387.6767272949219,762.0371
strawberry,412.59423828125,2067.751
sugarbeet,7581.59521484375,28408.97
sunflower,13189.2626953125,34752.06
tomato,10.014460563659668,48.359665
triticale,4583.45458984375,16452.12
turnipfor,0.09211960434913635,0.18812938
vegetablenes,257.7033386230469,1291.5498
vegfor,25.406118392944336,139.52965
wheat,74525.1015625,391217.25
