Crop,clipped_PA_surf,total_surf
apricot,0.11166658997535706,0.275531
avocado,25.51236343383789,75.34119
bambara,7.2890625,46.897682
banana,9.564903259277344,54.07219
bean,37687.82421875,223951.17
broadbean,2.5163097381591797,38.083096
cabbagefor,0.0,0.0
cabbage,2.135284423828125,8.437176
cassava,6805.900390625,30670.557
castor,0.10744933784008026,1.7252074
cerealnes,99535.6796875,323393.88
chickpea,1.2598161697387695,15.8984375
chilleetc,3.501629590988159,20.67979
coconut,1.133668065071106,4.2784414
coffee,1.5683093070983887,30.193472
cotton,32305.994140625,209764.12
cowpea,1204.3907470703125,4183.494
cucumberetc,73.89695739746094,407.05505
date,1943.5511474609375,9035.98
eggplant,1.0861644744873047,13.660262
fornes,6.648126125335693,99.83024
fruitnes,3471.955078125,16270.862
garlic,0.1556260883808136,2.390819
grapefruitetc,1.382929801940918,17.463871
greenbean,0.37089839577674866,1.5364103
groundnut,180170.609375,766688.6
jutelikefiber,0.27099764347076416,1.2345299
jute,0.062127791345119476,0.15710093
kolanut,69.17715454101562,296.74768
legumenes,0.0,0.0
lemonlime,1.873539686203003,24.199974
maizefor,0.0,0.0
maize,115536.6875,324725.28
mango,1640.5426025390625,7615.865
melonetc,3.155078411102295,13.527046
melonseed,15275.083984375,132715.14
millet,218329.328125,1136158.0
oilpalm,2.4389395713806152,11.19145
okra,20.21125030517578,58.428177
onion,233.69467163085938,1443.5216
orange,2.5572400093078613,22.68794
peachetc,0.10139720141887665,0.21093154
pepper,0.10708686709403992,0.31291866
pimento,3.756688117980957,18.561007
pineapple,0.6765942573547363,4.363617
plantain,8.778234481811523,33.516594
plum,0.07896672189235687,0.15546307
popcorn,0.0,0.0
potato,836.5734252929688,6004.2705
pulsenes,7694.52490234375,45320.01
pumpkinetc,68.37644958496094,310.29593
rice,58631.8046875,178164.22
rootnes,2.3393096923828125,9.561398
rubber,0.04520364850759506,0.112714306
sesame,59518.421875,252378.98
sisal,0.5189094543457031,2.4254985
sorghumfor,0.0,0.0
sorghum,409590.9375,1147865.1
soybean,0.0,122.11967
stonefruitnes,1.8187565803527832,5.2274065
sugarcane,380.52838134765625,4408.6104
sunflower,0.0761023610830307,3.1236744
sweetpotato,7726.30517578125,35815.258
taro,2069.941162109375,10055.642
tea,1.0858418941497803,4.096104
tobacco,26.78508186340332,129.69652
tomato,19.094161987304688,109.57164
tropicalnes,0.24713999032974243,3.7169907
vegetablenes,1306.416748046875,7504.634
vegfor,1728.3673095703125,8343.1045
watermelon,2.2026305198669434,23.192398
wheat,285.4749755859375,1072.2976
yam,9019.4150390625,47661.062
