Crop,clipped_PA_surf,total_surf
alfalfa,3.7532989978790283,5.6362123
almond,21642.2265625,132378.39
aniseetc,2726.81494140625,13474.889
apple,4777.3984375,24074.463
apricot,835.5964965820312,6834.402
artichoke,780.0842895507812,3836.3945
avocado,4.980072021484375,25.115223
barley,77012.640625,513673.16
bean,31.965368270874023,123.51264
beetfor,0.13531899452209473,0.20358425
berrynes,4.049653053283691,20.324467
broadbean,10352.31640625,40478.887
cabbagefor,0.0,0.0
cabbage,444.6381530761719,2182.054
carob,80.25328826904297,392.6615
carrotfor,0.0,0.0
carrot,2129.30859375,10560.198
cauliflower,162.2947998046875,772.4234
cerealnes,3081.822998046875,14638.739
cherry,171.29537963867188,232.27124
chickpea,1608.3414306640625,6462.4443
chilleetc,3613.282958984375,16796.44
citrusnes,2371.64404296875,11652.546
clover,2.6054775714874268,3.9040422
cotton,199.07699584960938,2830.2222
cranberry,3.8099639415740967,20.71205
cucumberetc,540.2398681640625,2651.7957
date,1265.688720703125,3782.1638
eggplant,10.833955764770508,30.979134
fig,1894.3857421875,12025.702
fornes,203.84872436523438,346.8484
fruitnes,3051.641845703125,15049.835
garlic,455.5281982421875,2216.9504
grapefruitetc,853.4822998046875,4220.8027
grape,5933.80078125,18061.348
greenbean,63.976253509521484,296.51984
greenbroadbean,1405.3719482421875,6871.925
greenonion,1858.76708984375,9192.057
greenpea,2089.28564453125,10122.621
groundnut,6.813434600830078,9.427642
legumenes,0.0,0.0
lemonlime,630.9027709960938,3097.7275
lentil,473.5440368652344,1898.4777
lettuce,564.1051635742188,2793.4368
linseed,210.31832885742188,1034.1165
maizefor,3.3300647735595703,5.000705
maize,0.0,0.0
melonetc,1934.1375732421875,8989.451
mixedgrass,5672.30908203125,27528.36
oats,986.8851928710938,4886.5415
olive,380712.28125,2285994.8
onion,1223.3355712890625,5986.8823
orange,3589.91748046875,17102.873
peachetc,3263.9404296875,13594.153
pear,1144.7108154296875,4853.9707
pea,1047.5972900390625,5146.2446
pimento,492.7889709472656,2421.334
pistachio,1604.851318359375,22242.023
plum,706.1431884765625,3456.0203
popcorn,0.0,0.0
potato,4646.03515625,25207.691
pulsenes,5789.26611328125,28501.713
pumpkinetc,644.913330078125,3154.553
quince,78.26609802246094,382.4548
rapeseed,504.668701171875,5019.874
rice,0.35450825095176697,0.74950176
ryefor,59.58735656738281,89.58963
rye,0.0,0.0
sorghumfor,0.0,0.0
sorghum,370.4013977050781,2347.4895
spicenes,604.0237426757812,2987.5388
spinach,128.88128662109375,635.08386
stonefruitnes,117.3919448852539,566.7322
strawberry,76.81398010253906,379.44168
sugarbeet,310.710205078125,1535.4913
sunflower,1168.483154296875,7193.4883
tangetc,1723.8326416015625,8450.991
tobacco,201.59075927734375,1195.5447
tomato,5699.890625,21535.115
triticale,1644.41748046875,8130.813
tropicalnes,2279.259521484375,11266.153
turnipfor,0.0,0.0
vegetablenes,1107.5074462890625,5378.893
vegfor,1553.873779296875,8395.49
vetch,19.23766326904297,25.788788
watermelon,1152.5955810546875,5660.2847
wheat,105613.2578125,594522.75
