Crop,clipped_PA_surf,total_surf
alfalfa,9923.111328125,17363.08
almond,3245.367919921875,5499.078
apple,1223.6707763671875,2088.847
apricot,381.6119079589844,700.8295
banana,5752.994140625,9400.19
barley,14962.353515625,28754.158
bean,937.8880615234375,1574.5587
broadbean,2710.761474609375,4723.9614
cabbagefor,0.0,0.0
cabbage,439.9868469238281,824.4161
carrotfor,0.0,0.0
carrot,886.7426147460938,1528.4282
chickpea,11998.4697265625,19614.662
chilleetc,1653.151611328125,3168.2812
citrusnes,11.363945007324219,19.088577
coffee,25570.44921875,37047.566
cotton,5275.64453125,9627.881
cucumberetc,536.48291015625,931.2198
date,8609.1748046875,15053.1
eggplant,338.3570861816406,597.96375
fig,305.23309326171875,528.5525
fornes,39.20563507080078,55.971256
fruitnes,4990.3759765625,8548.919
garlic,267.3210754394531,471.3205
grape,7008.376953125,12266.391
grassnes,8029.322265625,14001.179
greenbean,249.02191162109375,554.8523
groundnut,515.2540283203125,1000.3313
legumenes,0.0,0.0
lemonlime,1392.1141357421875,2767.815
lentil,5811.09423828125,9461.585
lettuce,172.03329467773438,367.15424
maizefor,0.0,0.0
maize,19743.88671875,37119.945
mango,13729.2822265625,24637.086
melonetc,2038.177734375,3548.2896
millet,39725.25390625,83793.62
okra,2455.25244140625,4258.322
onion,9120.5244140625,15717.975
orange,4613.3076171875,8138.615
papaya,948.1849365234375,1691.9917
peachetc,1549.5185546875,2654.83
pear,82.68010711669922,142.13309
pea,910.8776245117188,1586.0835
popcorn,0.0,0.0
potato,7768.55126953125,15731.826
pulsenes,6025.2255859375,10429.711
pumpkinetc,876.343505859375,1506.6261
quince,183.73825073242188,314.67657
sesame,11447.298828125,20164.268
sorghumfor,13378.787109375,24334.508
sorghum,136279.109375,283952.84
sugarcane,0.12118304520845413,0.2855686
sweetpotato,28.10321807861328,41.14982
tangetc,859.6847534179688,1509.1992
tobacco,10535.787109375,13625.207
tomato,4146.81494140625,7338.048
tropicalnes,258.40777587890625,450.0027
turnipfor,0.0,0.0
vegetablenes,2769.00537109375,4848.8887
vegfor,1430.8900146484375,3033.728
watermelon,5441.01171875,9492.581
wheat,22988.873046875,53094.37
