Country Code (ISO3),macro_impact,physical_volume,type,physical_unit,Country Name,gdp2022,relative impact,2022_USD_agrioutput_GDPdef,2022_USD_agrioutput_agriAVdef,2022_USD_agrioutput_agriAVdef_PPP,recomputed_sum,relative agri impact_PPP
AFG,1298716455.361908,1736460.7752720243,vegetal,tonnes,Afghanistan,14502158192.0904,0.08955332290267244,7598797133.0,5419418901.41455,5419418901.0,10691032369.6189,0.12147717923411384
AGO,2399521085.774414,4647808.871493111,vegetal,tonnes,Angola,104399746853.401,0.022983974177100654,34683933753.0,9165488542.12115,9165488542.0,14446974447.0979,0.1660915989407338
ALB,679644320.4741871,1012470.1960744195,vegetal,tonnes,Albania,18916378860.5488,0.035928880759077235,2625193201.0,3210000923.91181,3210000924.0,3122712254.04411,0.21764551619958092
ARE,720204252.8782156,383861.3474778213,vegetal,tonnes,United Arab Emirates,507063968277.74,0.0014203420040363227,1409354979.0,1285629704.37155,1285629704.0,1965582169.86502,0.36640760377251147
ARG,12906978896.952696,21993915.71232013,vegetal,tonnes,Argentina,631133384439.944,0.02045047721315853,76191085967.0,104331488508.534,104331000000.0,136317678275.21,0.09468308923876302
ARM,760914360.9454544,1267290.2125489009,vegetal,tonnes,Armenia,19513474648.2429,0.03899430391880368,2045065871.0,2486696386.86659,2486696387.0,2449551222.65689,0.3106341904212697
AUS,5190911686.514683,24467010.49757482,vegetal,tonnes,Australia,1692956646855.7,0.0030661811075644945,56672886400.0,53671124110.9481,53671124111.0,52213659078.0382,0.09941673842004406
AUT,1063296505.5415449,2241039.606148768,vegetal,tonnes,Austria,470941926750.741,0.0022578081184611194,7600352681.0,8474939521.76671,8474939522.0,10215781583.9157,0.10408371565183604
AZE,521856213.07935655,1264881.133479553,vegetal,tonnes,Azerbaijan,78807470588.2353,0.006621912988503673,9618469847.0,5066894648.06533,5066894648.0,6165880630.26846,0.08463612002437276
BDI,686116485.2999512,1494513.564390786,vegetal,tonnes,Burundi,3338722827.65691,0.2055026789335078,3603264081.0,2442916126.74985,2442916127.0,3579157673.61176,0.19169775345705428
BEL,496649802.8292336,1072571.3318308417,vegetal,tonnes,Belgium,583613982019.263,0.0008509902403483558,11059912151.0,13615394607.36,13615394607.0,13486407781.7248,0.036825951792903315
