Crop,clipped_PA_surf,total_surf
almond,3.477555751800537,4.765264
bambara,225.3879852294922,229.59312
banana,839.5482177734375,4201.8
bean,21882.47265625,149669.47
cabbagefor,0.0,0.0
cabbage,7.178859710693359,8.669661
carrotfor,0.0,0.0
carrot,4.261727333068848,24.913939
cashew,108919.75,461266.8
cassava,95261.515625,362279.0
castor,262.99139404296875,952.05664
cerealnes,7.620608329772949,65.21176
chickpea,4.927124977111816,29.854836
chilleetc,9596.46875,39932.9
citrusnes,180.3878173828125,861.607
cocoa,272.20166015625,2179.3828
coconut,2907.589599609375,16682.55
coffee,78.16500091552734,571.8981
cotton,111607.109375,618153.94
cowpea,2036.662109375,6410.577
date,150.36415100097656,557.55164
fonio,2678.075439453125,11629.547
fruitnes,8831.7265625,36139.934
garlic,0.5273840427398682,0.6188755
ginger,12.616512298583984,94.943954
greenbean,4.435788631439209,5.3258457
greenbroadbean,0.6237237453460693,0.6912617
greencorn,25.527633666992188,181.04991
greenonion,2.7771339416503906,13.317829
groundnut,33193.5,180997.02
jutelikefiber,0.06217746436595917,0.5454588
karite,2455.580810546875,8717.533
kolanut,619.2923583984375,2334.0918
legumenes,0.0,0.0
lettuce,3.9519147872924805,4.5918083
maizefor,0.0,0.0
maize,247666.4375,1293779.8
mango,1729.6988525390625,4503.1133
melonseed,115.89079284667969,734.9423
millet,9127.576171875,30727.041
nutnes,1454.87158203125,5240.8267
oilpalm,14057.0263671875,40116.37
oilseedfor,0.0,0.0
oilseednes,4992.3740234375,5785.07
okra,3775.406982421875,17365.48
onion,3121.58154296875,6288.463
orange,1590.2850341796875,6078.546
papaya,19.00011444091797,82.446365
pea,1.1126006841659546,1.2617726
pepper,170.34446716308594,623.43475
pimento,3108.292724609375,12256.551
pineapple,1748.0347900390625,6753.024
plantain,2.5466814041137695,23.233198
popcorn,0.0,0.0
potato,2.9852311611175537,76.826904
pulsenes,9469.7783203125,38490.805
rice,16819.548828125,112533.25
rootnes,0.8210453987121582,8.409181
rubber,350.7854309082031,1727.3079
sesame,3694.260986328125,13794.47
sorghumfor,0.0,0.0
sorghum,27326.75390625,142934.73
soybean,27885.4765625,203146.62
spicenes,5.800516605377197,12.787561
sugarcane,634.7503662109375,907.18445
sweetpotato,4680.9169921875,10368.072
taro,376.7552185058594,1768.9421
tobacco,14.164166450500488,54.926468
tomato,17394.46875,77002.31
tropicalnes,1.1736284494400024,1.621192
turnipfor,0.0,0.0
vegetablenes,3265.20263671875,13210.235
vegfor,7770.55078125,27969.244
wheat,0.0,0.83667904
yam,20707.15234375,239519.22
