Crop,clipped_PA_surf,total_surf
almond,0.1040060818195343,0.1553872
aniseetc,0.548335611820221,8.604249
apple,5472.1416015625,51122.203
apricot,1.3049932718276978,4.0565805
barley,53263.9765625,399111.47
bean,7879.60888671875,84945.31
beetfor,6.8856282234191895,13.304359
berrynes,9.794078826904297,15.867863
blueberry,5.260445594787598,10.043405
broadbean,223.53530883789062,267.23264
buckwheat,2896.910400390625,27168.547
cabbagefor,0.0,0.0
cabbage,1132.264892578125,10189.291
carrotfor,0.0,0.0
carrot,988.5482177734375,8982.474
castor,0.0,0.042506155
cauliflower,5.456356048583984,10.151175
cerealnes,7985.986328125,24836.555
cherry,81.3316421508789,630.6055
chestnut,0.01689271070063114,1.0539063
chickpea,0.5740668773651123,10.188503
chilleetc,1.8972593545913696,3.3816667
cranberry,77.78560638427734,360.06528
cucumberetc,648.9569091796875,5932.6978
currant,23.098840713500977,46.707943
eggplant,0.6678057312965393,1.3724525
flax,3230.870361328125,49363.19
fornes,1992.11767578125,18554.027
fruitnes,4.227689266204834,16.346241
garlic,176.85191345214844,971.57733
gooseberry,2.7093687057495117,6.291613
grape,926.48193359375,3918.191
grassnes,31.753795623779297,118.31802
greenpea,171.1458740234375,896.4054
hazelnut,1266.7349853515625,4259.599
hempseed,0.05777371674776077,0.6568086
hemp,0.5526648163795471,2.039825
hop,0.8490905165672302,1.5270559
jutelikefiber,0.19607017934322357,5.4287405
legumenes,262.76885986328125,480.15103
lentil,0.1542668342590332,3.012065
linseed,2441.068115234375,25470.074
lupin,337.2757873535156,1609.2687
maizefor,20431.54296875,158845.94
maize,26562.525390625,220507.84
millet,1136.0714111328125,10089.772
mixedgrain,668.077880859375,1214.6445
mixedgrass,22123.94921875,164804.45
mustard,6.4127631187438965,45.66512
nutnes,92.6576156616211,895.3736
oats,19738.751953125,157831.12
oilseedfor,0.0,0.0
oilseednes,24.167770385742188,40.862316
onion,1174.952392578125,10933.079
peachetc,0.49862077832221985,1.7214684
pear,588.9803466796875,5571.1484
pea,4071.80859375,36530.812
plum,815.8870239257812,7654.9854
popcorn,0.0,0.0
potato,23704.53515625,261823.06
pulsenes,52.82238006591797,97.84716
pumpkinetc,7.558777809143066,13.568892
quince,136.7917938232422,1059.3933
rapeseed,36202.4140625,356789.72
rasberry,9.52470588684082,18.961048
rice,0.06965906918048859,0.165241
ryefor,0.0,0.0
rye,44172.140625,345670.44
safflower,0.6052570343017578,16.226717
sorghumfor,0.0,0.0
sorghum,8.391243934631348,22.094135
sourcherry,697.873779296875,6341.6636
soybean,153.4915771484375,659.36346
stonefruitnes,1.6480178833007812,2.8716
strawberry,1014.1204223632812,9000.967
sugarbeet,6381.79052734375,84539.01
sunflower,1499.716796875,4195.8545
tea,0.0,0.011242334
tobacco,1.704660177230835,10.655197
tomato,786.729736328125,7138.164
triticale,48354.5703125,462336.25
tropicalnes,0.0,0.0
turnipfor,0.0,0.0
vegetablenes,2065.18505859375,18885.15
vegfor,1947.8438720703125,16092.538
vetch,1144.7742919921875,8684.087
walnut,743.3363647460938,5734.14
watermelon,6.277383804321289,23.089283
wheat,90049.5,675940.75
