Crop,clipped_PA_surf,total_surf
apple,57.49497604370117,653.7635
apricot,0.0,0.20797503
barley,31692.609375,398013.22
beetfor,0.0,0.0
berrynes,24.580810546875,338.29117
broadbean,0.0,3138.6116
cabbagefor,0.0,0.0
cabbage,73.23007202148438,817.88135
carrotfor,0.0,0.0
carrot,154.35006713867188,1712.1287
cauliflower,48.36107635498047,550.6152
cerealnes,0.0,545.17847
cherry,0.0,0.24933766
cucumberetc,19.83913803100586,235.86848
currant,170.802978515625,1900.4755
fornes,0.0,22.818455
fruitnes,0.0,0.34795967
garlic,0.0,29.68077
gooseberry,0.4455582797527313,15.161213
grape,0.0,1.0989467
greenbean,0.6913468837738037,29.007036
greenpea,444.38226318359375,4935.171
jutelikefiber,0.0,0.22832759
legumenes,0.0,0.0
linseed,0.0,321.56476
maizefor,0.0,54.1361
maize,56146.984375,345534.66
mixedgrain,1447.01318359375,16256.281
mixedgrass,6392.123046875,62849.65
mustard,0.0,2.1416464
oats,17476.15625,292840.8
onion,108.34609985351562,1204.7948
peachetc,0.0,0.06099537
pear,0.0,27.958405
pea,1658.4058837890625,18375.271
plum,0.0,0.7398747
popcorn,0.0,0.0
potato,1463.49072265625,20922.709
rapeseed,1235.815673828125,24736.05
rasberry,31.27477264404297,360.60587
rice,9.283039093017578,13.027851
ryefor,0.0,0.0
rye,966.7474365234375,14368.47
sorghumfor,0.0,0.0
sorghum,0.0,0.040235568
sourcherry,0.0,0.7660288
soybean,218.6919708251953,595.9455
strawberry,401.0535583496094,4458.344
sugarbeet,161.5487823486328,10743.901
sunflower,220.55966186523438,970.33044
swedefor,2138.352783203125,24398.15
tomato,7.088217258453369,100.15939
triticale,0.667262077331543,52.137047
tropicalnes,0.0,0.0
turnipfor,0.0,0.0
vegetablenes,162.5634765625,1804.8666
vegfor,150.4113006591797,9510.727
vetch,0.0,0.14036264
walnut,0.0,0.11740649
watermelon,0.0,0.37597618
wheat,6604.0126953125,200564.77
