Crop,clipped_PA_surf,total_surf
avocado,280.645751953125,377.3981
banana,5512.9189453125,7520.753
bean,83.05459594726562,113.180176
broadbean,147.12185668945312,197.84552
cabbagefor,0.0,0.0
cabbage,1499.53564453125,2023.3188
carrotfor,0.0,0.0
carrot,1253.510498046875,1689.4772
cassava,1073.07421875,1450.9901
cauliflower,126.35916900634766,169.93948
chilleetc,927.7999877929688,1247.8142
cocoa,769.8480224609375,1007.9159
coconut,10462.23046875,14513.304
coffee,7651.9921875,10089.688
cowpea,205.18978881835938,278.78333
cucumberetc,807.09375,1088.577
eggplant,22.82335662841797,30.696335
fruitnes,0.0,0.0
ginger,193.35946655273438,260.04544
grapefruitetc,1306.96435546875,1753.2825
greencorn,38.42082977294922,51.958702
greenonion,465.06976318359375,627.6908
groundnut,1251.701171875,1703.6442
legumenes,0.0,0.0
lemonlime,1209.9840087890625,1622.8584
lettuce,748.587646484375,1006.8133
maizefor,0.0,0.0
maize,1320.128173828125,1807.7019
mango,386.235595703125,519.39844
onion,102.322265625,137.60593
orange,5268.958984375,6921.0957
papaya,363.2824401855469,488.55457
pea,615.8911743164062,827.65137
pigeonpea,326.4517822265625,441.74707
pimento,1231.7623291015625,1653.8976
pineapple,1544.909912109375,2080.3306
plantain,1635.10302734375,2227.338
popcorn,0.0,0.0
potato,821.2274780273438,943.1555
pumpkinetc,2238.999267578125,3009.3154
rice,6.7587385177612305,9.989586
rootnes,1051.26806640625,1419.558
sisal,430.4286804199219,578.8417
spicenes,119.03996276855469,160.08154
spinach,717.0384521484375,963.8764
stringbean,422.6253967285156,568.3668
sugarcane,7679.6787109375,11540.609
sweetpotato,2104.607421875,2852.5894
tangetc,823.8165283203125,1109.5259
tobacco,512.3963623046875,764.5147
tomato,1007.3621826171875,1360.0591
tropicalnes,1941.361083984375,2576.791
turnipfor,0.0,0.0
vegetablenes,931.0069580078125,1255.9407
vegfor,1408.783447265625,1811.8684
watermelon,506.2944641113281,680.9464
yam,7004.076171875,9470.732
