Crop,clipped_PA_surf,total_surf
aniseetc,207.0780487060547,779.8938
apple,16.5748291015625,59.549187
asparagus,5.789791584014893,36.947678
avocado,6804.76513671875,22695.69
banana,26511.533203125,75060.19
barley,7169.76416015625,11119.152
bean,328493.71875,1157475.5
berrynes,63.03427505493164,217.37172
broadbean,6.73045015335083,25.986542
cabbagefor,0.0,0.0
cabbage,9912.7900390625,33357.17
carrotfor,0.0,0.0
carrot,1631.211181640625,5452.1636
cashew,6711.87060546875,21896.605
cassava,10783.130859375,66606.99
castor,4226.72412109375,14095.146
cauliflower,19.866708755493164,90.85813
cerealnes,31.075551986694336,111.47538
chickpea,815.7758178710938,4117.074
chilleetc,162.31195068359375,584.7508
citrusnes,4088.7314453125,13623.166
clove,628.4442138671875,2086.9553
cocoa,6.542273998260498,22.283056
coconut,44470.2265625,87253.14
coffee,39697.69921875,123069.34
cotton,2714.3115234375,14326.725
cowpea,41605.3046875,238919.39
cucumberetc,131.2535400390625,453.83575
date,133.83514404296875,464.4863
eggplant,1.442383885383606,5.5765834
fibrenes,22.4525089263916,83.84769
fornes,14.104412078857422,61.401466
fruitnes,3089.129638671875,10426.216
garlic,73.19114685058594,249.07591
ginger,119.14704895019531,495.56174
grapefruitetc,66.11480712890625,235.65158
grape,1.3903565406799316,3.5796127
greenbean,1246.646728515625,4192.214
greenbroadbean,0.038508832454681396,0.1837746
greencorn,9.08519172668457,26.775574
greenonion,0.1084655225276947,0.45669597
greenpea,2757.470458984375,9234.176
groundnut,1691.9730224609375,16095.992
jutelikefiber,0.08666345477104187,0.31744823
legumenes,0.0,0.0
lemonlime,1069.5474853515625,3627.2544
lentil,107.22611236572266,2005.5277
lettuce,9.276426315307617,40.982094
linseed,236.5533905029297,814.5096
maizefor,0.0,0.0
maize,512674.15625,2207966.0
mango,18717.560546875,62127.656
melonetc,0.19622361660003662,0.7880378
millet,14306.6875,119571.61
mustard,0.19155573844909668,0.7584622
nutmeg,25.811248779296875,92.713585
nutnes,1184.9813232421875,3957.7927
oats,1198.92236328125,4008.9368
oilpalm,0.4805380403995514,1.6802509
oilseedfor,0.0,0.0
oilseednes,34812.65234375,116618.984
okra,513.7596435546875,1716.3949
onion,3295.0087890625,11038.18
orange,4646.4345703125,16064.573
papaya,2362.650634765625,7901.089
peachetc,2.604651927947998,16.835617
pear,84.49010467529297,309.4635
pea,88.10138702392578,272.12735
pepper,152.768310546875,544.3187
pigeonpea,20865.865234375,134217.89
pimento,1347.3197021484375,4521.2173
pineapple,3034.252197265625,10140.44
plantain,922.8364868164062,7791.444
plum,105.51524353027344,401.27136
popcorn,0.0,0.0
potato,108569.625,179353.8
pulsenes,58059.5234375,190755.39
pumpkinetc,0.6029818058013916,2.4816678
pyrethrum,869.88525390625,2935.7393
rapeseed,0.0,0.0
rice,4771.67626953125,28821.498
rootnes,762.2544555664062,2640.7544
safflower,23.384075164794922,74.21457
sesame,9620.35546875,32046.336
sisal,7534.3330078125,24924.438
sorghumfor,0.0,0.0
sorghum,37941.96484375,222568.84
soybean,81.15994262695312,2477.1597
spicenes,280.7471923828125,944.5828
spinach,2729.1357421875,9099.497
strawberry,9.645822525024414,55.028713
sugarcane,4671.0986328125,90790.7
sunflower,1876.8260498046875,5725.6606
sweetpotato,19158.1640625,56489.816
tangetc,121.75296020507812,445.352
tea,82219.6953125,268026.78
tobacco,830.0617065429688,15894.444
tomato,10503.43359375,35121.164
tropicalnes,1188.7579345703125,3964.1091
turnipfor,0.0,0.0
vanilla,3.825082540512085,22.042265
vegetablenes,14715.037109375,48651.098
vegfor,23866.017578125,89811.336
vetch,19.78030014038086,73.61375
watermelon,4860.85595703125,16436.943
wheat,72138.90625,132544.77
yam,253.50167846679688,1046.4056
