Crop,clipped_PA_surf,total_surf
bean,2119.21630859375,5905.867
cabbagefor,0.0,0.0
cabbage,2273.7314453125,4482.4497
carrotfor,0.0,0.0
carrot,4860.2587890625,9564.329
cashew,7160.69921875,15671.265
cassava,9381.525390625,20568.26
chilleetc,7966.51904296875,17141.438
cinnamon,15383.1923828125,34014.14
clove,2974.10302734375,5914.5186
cocoa,1134.47998046875,1856.9275
coconut,147339.65625,492795.25
coffee,3681.373291015625,5953.2847
cowpea,5354.20361328125,11372.619
cucumberetc,1492.159912109375,2942.6353
eggplant,5459.5859375,10949.979
fruitnes,5316.53271484375,10714.486
ginger,2220.37890625,4370.9697
greenbean,8815.138671875,17399.68
groundnut,7254.7568359375,18986.342
legumenes,0.0,0.0
lemonlime,5180.61328125,10267.084
maizefor,0.0,0.0
maize,32982.8671875,72863.91
mango,13819.224609375,30765.01
millet,69.84988403320312,133.20992
mustard,39.33069610595703,78.31804
nutmeg,1655.3046875,3271.4312
oilpalm,492.6090087890625,2424.2456
onion,3498.9609375,6971.9814
orange,3376.682373046875,6652.65
pepper,20445.00390625,45673.375
pineapple,1862.6390380859375,3675.2205
plantain,22690.4296875,49891.586
popcorn,0.0,0.0
potato,3589.7431640625,3602.9707
pumpkinetc,7335.986328125,14665.119
rapeseed,143.89889526367188,316.1468
rice,408861.28125,1054023.8
rubber,55837.0859375,118789.81
sesame,5712.71484375,11385.008
sorghumfor,0.0,0.0
sorghum,91.22291564941406,190.29477
soybean,1466.5146484375,3489.4404
spicenes,306.0875244140625,604.1509
sugarcane,4088.4755859375,13640.377
sweetpotato,2117.08740234375,4131.976
tea,227564.6875,261264.69
tobacco,444.6130676269531,1137.0769
tomato,3277.043701171875,6463.1836
tropicalnes,0.0,0.0
turnipfor,0.0,0.0
vegetablenes,2945.8955078125,5815.75
vegfor,3136.069580078125,7050.662
yam,13763.0126953125,31721.758
