Crop,clipped_PA_surf,total_surf
alfalfa,9.788208961486816,94.801346
apple,5.670910835266113,34.60304
apricot,0.42364269495010376,3.6990955
avocado,0.577532172203064,0.59171
banana,0.0,0.8479253
barley,149.184326171875,1757.5979
bean,2120.3095703125,11584.684
buckwheat,0.010065963491797447,0.5527519
cabbagefor,0.0,0.0
cabbage,0.892084538936615,2.2467437
carrotfor,0.0,0.0
carrot,0.6558229327201843,4.3834457
castor,1.1963393688201904,9.760071
cauliflower,0.05069459229707718,0.06757122
cerealnes,3.653420925140381,57.986206
cherry,0.0,0.11969554
chicory,0.2332245111465454,2.3967571
citrusnes,0.0,0.18170209
cotton,0.6583895087242126,1.1653554
cowpea,0.4260508120059967,3.3882804
cucumberetc,0.09516267478466034,1.4952672
fibrenes,0.3520938754081726,3.1627204
fig,0.0,0.48250237
fruitnes,681.4549560546875,3200.5825
grapefruitetc,1.7409477233886719,14.276094
grape,0.2804342806339264,16.278063
greenbean,0.5477259755134583,4.6929693
greencorn,4.801924705505371,39.646362
greenpea,0.20361214876174927,2.0864677
groundnut,0.0,33.939392
hop,0.0,0.25519487
jutelikefiber,0.0410434827208519,0.9531075
legumenes,0.0,0.0
lemonlime,3.1785435676574707,26.329971
lettuce,0.25023603439331055,2.2837317
lupin,1.530869722366333,12.513719
maizefor,0.0,0.0
maize,2222.634521484375,35949.258
melonetc,0.1988934725522995,1.9603825
millet,0.663037896156311,5.2903695
mixedgrass,91.6045150756836,813.5269
nutnes,1.6677149534225464,13.725827
oats,54.634986877441406,264.44135
oilseedfor,0.0,0.0
oilseednes,2.520568609237671,4.8226824
onion,3.635389566421509,30.022789
orange,5.008866786956787,17.397038
papaya,0.13838711380958557,1.5500547
peachetc,1.0886170864105225,7.0683117
pear,3.267241954803467,15.151488
pea,329.2117919921875,1673.4938
pimento,0.9690644145011902,8.013022
pineapple,1.2204554080963135,9.958597
plum,0.7113543748855591,5.34194
popcorn,0.0,0.0
potato,816.7263793945312,7613.162
pumpkinetc,3.8254261016845703,31.609589
rapeseed,5.36386775970459,34.528194
rice,0.1289062350988388,2.953514
ryefor,0.0,0.0
rye,0.9576568603515625,7.8694186
sisal,0.24085669219493866,2.1922665
sorghumfor,0.0,0.0
sorghum,2735.27392578125,24467.316
soybean,0.26110732555389404,958.38025
strawberry,0.0,0.6130434
sunflower,0.7831796407699585,1098.5847
sweetpotato,0.0,23.680378
tangetc,0.7924488186836243,6.4893913
tea,0.0,0.17784624
tobacco,0.028888052329421043,0.25719157
tomato,0.4933512210845947,1.3720757
tropicalnes,0.0,0.0
turnipfor,0.0,0.0
vegetablenes,557.9962158203125,2612.4287
vegfor,344.7004699707031,3475.2957
watermelon,0.646599531173706,5.353326
wheat,2658.977294921875,9149.591
