Crop,clipped_PA_surf,total_surf
alfalfa,0.0,4.768937
almond,45786.578125,199360.25
aniseetc,6091.4189453125,25122.736
apple,11987.513671875,49684.82
apricot,2594.2197265625,10670.606
artichoke,695.9498291015625,2862.4272
asparagus,0.19415834546089172,1.0136187
avocado,1483.460205078125,6094.915
banana,3232.607177734375,8404.474
barley,287677.1875,1282496.9
bean,0.0,2.9302619
beetfor,0.0,0.19209705
berrynes,54.12447738647461,225.6138
broadbean,23515.341796875,104877.266
cabbagefor,0.0,0.0
cabbage,542.1158447265625,2231.937
carob,2511.559326171875,10313.424
carrotfor,0.0,0.0
carrot,5576.11572265625,22926.684
castor,64.1524658203125,266.06818
cauliflower,591.9315185546875,2436.5574
cerealnes,873.8084106445312,3587.1035
cherry,697.8854370117188,2874.224
chickpea,13594.732421875,54398.88
chilleetc,1029.4830322265625,4236.9697
citrusnes,466.6357421875,1917.1458
clover,0.0,3.3114376
cotton,60.568145751953125,104.412155
cucumberetc,308.3879699707031,1271.7555
date,14218.880859375,59574.008
eggplant,589.5652465820312,2424.9272
fig,14618.7255859375,61486.47
fornes,23797.55859375,101905.61
fruitnes,1848.183349609375,7601.465
garlic,549.446044921875,2267.6025
grapefruitetc,24.905305862426758,106.35204
grape,9350.091796875,39584.44
greenbean,2209.40673828125,9098.855
greenbroadbean,2367.425048828125,9745.242
greenonion,456.0613708496094,1873.4448
greenpea,3503.245849609375,14409.124
groundnut,4711.748046875,13662.359
legumenes,0.0,0.0
lemonlime,749.259765625,3090.1519
lentil,7078.888671875,40666.64
lettuce,62.91086196899414,260.85953
lupin,18905.18359375,77939.266
maizefor,0.0,4.2315164
maize,13013.015625,68939.875
melonetc,4130.43310546875,17024.168
millet,796.9521484375,2562.1292
oats,4207.2412109375,15334.3125
oilseedfor,0.0,0.0
oilseednes,54.90804672241211,229.51982
olive,195777.28125,930949.1
onion,7586.8876953125,31456.525
orange,13809.263671875,58581.723
peachetc,3198.72412109375,13191.309
pear,897.2943115234375,3701.3125
pea,8265.44140625,41385.504
peppermint,621.5910034179688,2551.9873
pimento,299.72149658203125,1235.1582
plum,3722.47119140625,15315.488
popcorn,0.0,0.0
potato,10626.5947265625,56869.25
pulsenes,6821.17431640625,28369.762
pumpkinetc,1731.53662109375,7120.9014
quince,820.0118408203125,3368.5938
rapeseed,316.6673278808594,1876.3336
rice,3630.00390625,5787.2993
ryefor,0.0,75.666855
rye,887.9110107421875,3646.6152
sesame,217.19158935546875,891.32886
sisal,1047.34326171875,4301.7188
sorghumfor,0.0,0.0
sorghum,678.1966552734375,4649.1875
soybean,210.94686889648438,743.9832
spicenes,1232.8804931640625,5063.117
stonefruitnes,0.0,10.562632
strawberry,768.8248901367188,3157.7373
stringbean,1435.872802734375,5894.104
sugarbeet,15720.900390625,55900.383
sugarcane,7420.77294921875,11764.146
sunflower,5104.56640625,18812.453
sweetpotato,44.44346618652344,848.7634
tangetc,15660.55859375,64748.57
tobacco,243.60604858398438,480.45657
tomato,3648.09375,15044.212
triticale,0.0,0.0
tropicalnes,14.448671340942383,67.565895
turnipfor,0.0,0.0
vegetablenes,5206.9873046875,21508.223
vegfor,3049.154296875,10550.845
vetch,956.0466918945312,3923.3718
walnut,1661.37255859375,6822.484
watermelon,3981.416748046875,16370.582
wheat,529534.75,2842808.2
