Crop,clipped_PA_surf,total_surf
alfalfa,137.01266479492188,299.2102
almond,0.7918749451637268,1.2822577
apple,177.46401977539062,386.66412
apricot,154.10533142089844,272.08884
barley,129.95742797851562,767.04047
bean,21.549625396728516,90.62665
beetfor,452.38677978515625,766.867
broadbean,0.36260223388671875,0.7072163
cabbagefor,0.0,0.0
cabbage,204.93536376953125,375.3145
carrotfor,0.0,0.0
carrot,445.2931213378906,740.93677
cherry,417.4835510253906,701.19275
chestnut,25.072546005249023,42.63234
chickpea,2.372687339782715,3.5825014
chicory,24.39590072631836,40.377186
chilleetc,128.08517456054688,249.83347
clover,1628.1595458984375,3337.369
cotton,0.34297820925712585,0.3429782
cowpea,0.8432303667068481,21.866295
cucumberetc,4.212826728820801,7.043403
fig,416.72589111328125,740.2649
fruitnes,66.66265869140625,107.45816
garlic,154.36553955078125,258.5081
grape,861.8519287109375,2076.6694
greenbean,219.95181274414062,393.7754
greenbroadbean,0.028991971164941788,0.04214001
greencorn,54.3748893737793,89.31712
greenpea,97.48330688476562,181.29729
hempseed,10.562141418457031,17.638323
hemp,10.586227416992188,17.678528
hop,31.770994186401367,52.612366
legumenes,289.289306640625,491.1069
maizefor,1149.4227294921875,2040.8263
maize,225.36109924316406,1599.1389
millet,0.0,0.023162091
nutnes,7.3439249992370605,14.156802
oats,88.87901306152344,194.09705
olive,26.20262908935547,76.54372
onion,44.034385681152344,88.8584
orange,434.555419921875,721.16284
peachetc,51.874351501464844,109.27763
pear,39.954307556152344,83.82441
pea,316.28997802734375,560.76447
pimento,239.54544067382812,404.65442
plum,173.4288330078125,500.8476
popcorn,0.0,0.0
poppy,48.831214904785156,83.31047
potato,783.5822143554688,1872.67
pulsenes,4.228410243988037,8.375947
quince,104.54302978515625,178.62817
rapeseed,1.8441990613937378,8.500058
rasberry,126.22634887695312,288.11227
ryefor,0.0,0.0
rye,70.2545394897461,153.42477
sorghumfor,0.0,0.0
sorghum,0.01166701689362526,0.18056482
sourcherry,1109.212646484375,1945.3823
soybean,6.80684757232666,9.977773
spicenes,1.2795037031173706,2.4666483
strawberry,443.171875,750.8642
sugarbeet,15.172916412353516,163.04707
sunflower,0.8536933660507202,142.41481
tea,71.99591064453125,113.405685
tobacco,63.001121520996094,102.851105
tomato,59.44879150390625,125.61018
tropicalnes,0.0,0.0
turnipfor,0.0,0.0
vegetablenes,170.01564025878906,272.24927
vegfor,694.7059936523438,1567.7534
vetch,421.83807373046875,726.9191
walnut,262.4393310546875,442.8038
watermelon,261.5456848144531,456.57864
wheat,306.2457275390625,1105.8816
