Crop,clipped_PA_surf,total_surf
bambara,196.1046600341797,243.60667
banana,0.0,0.4382013
barley,49.863494873046875,484.99338
bean,1585.858154296875,10816.933
beetfor,0.0,0.0
cashew,38.8179931640625,59.8683
cassava,4.610468864440918,4.610469
cerealnes,4.667182445526123,7.218163
chilleetc,0.0,0.0
coconut,6.4503493309021,13.822772
cotton,0.0,456.02826
cowpea,3334.267333984375,22051.28
date,767.3445434570312,8703.186
fonio,40.369712829589844,45.85109
fruitnes,160.4345703125,922.62897
greenbean,2.3186326026916504,3.4859135
groundnut,56.38713836669922,971.8127
jutelikefiber,0.0,5.0847726
karite,0.0,83.31932
legumenes,0.0,0.0
maizefor,0.0,0.0
maize,5804.16064453125,22584.54
mango,32.251583099365234,40.506187
melonseed,207.23495483398438,4367.401
millet,409.7498779296875,10893.493
nutnes,4.3656158447265625,10.810598
onion,20.67790985107422,34.452385
orange,12.544407844543457,14.275536
pea,1273.2462158203125,25489.852
pimento,7.7959489822387695,25.467554
popcorn,0.0,0.0
potato,38.559818267822266,318.62943
pulsenes,2281.401123046875,31673.059
rice,63395.421875,87959.414
sorghumfor,0.0,0.0
sorghum,31657.908203125,202129.88
soybean,0.0,7.5697036
sugarbeet,0.0,0.63637286
sugarcane,691.83154296875,691.83154
sweetpotato,58.116554260253906,2554.1328
tea,0.0,0.0
tomato,0.4646233916282654,5.910818
tropicalnes,3.5728085041046143,3.867986
vegetablenes,23.172222137451172,602.093
vegfor,1620.6075439453125,2546.791
watermelon,630.070556640625,4150.208
wheat,1546.825927734375,4138.131
yam,145.76370239257812,547.1357
