Crop,clipped_PA_surf,total_surf
aniseetc,95.28392028808594,207.66248
banana,5091.98876953125,14407.694
barley,0.46500763297080994,1.1222453
bean,112316.953125,374822.47
cabbagefor,0.0,0.0
cabbage,4626.54443359375,9114.245
cashew,190.18014526367188,899.63055
cassava,63258.1171875,250004.77
castor,113.15354919433594,549.8392
cerealnes,3.459347724914551,18.654634
chickpea,1329.6099853515625,3982.5566
citrusnes,231.0630645751953,454.77744
clove,0.48135483264923096,2.8038821
cocoa,278.14453125,428.30463
coconut,2.702620267868042,7.7948847
coffee,1908.256591796875,4984.6514
cotton,22400.0625,81967.875
cowpea,30417.357421875,121096.65
fruitnes,18516.330078125,46287.4
garlic,0.051758717745542526,85.99844
grapefruitetc,2.5382180213928223,10.664417
grape,0.05230677127838135,23.52022
greencorn,0.9468741416931152,5.153955
greenpea,0.3137027323246002,582.83075
groundnut,79244.875,408311.12
jutelikefiber,6.738131999969482,27.36794
legumenes,0.0,0.0
lemonlime,554.3436279296875,1379.9829
lentil,293.63897705078125,2122.2236
maizefor,0.0,0.0
maize,449382.65625,1867825.8
mango,30228.595703125,61351.516
millet,24104.7890625,61583.36
nutmeg,79.88218688964844,154.46292
nutnes,2403.58935546875,4719.2285
oilpalm,42.84406661987305,65.65781
oilseedfor,0.0,0.0
oilseednes,134.178955078125,602.86444
onion,4458.541015625,8779.973
orange,2210.619873046875,5472.998
papaya,1206.685302734375,3032.3152
pea,2476.9677734375,5260.626
pepper,320.6146545410156,671.4706
pigeonpea,75660.5,263183.2
pimento,1159.013671875,2263.7954
pineapple,1792.5545654296875,4716.166
plantain,11226.5185546875,39283.305
popcorn,0.0,0.0
potato,18676.775390625,76457.03
pulsenes,8245.7109375,21429.516
pumpkinetc,3430.69140625,8319.701
pyrethrum,1.0145626068115234,5.600009
rice,25890.234375,78810.21
rootnes,1.2997504472732544,5.5619006
safflower,1.692587971687317,9.233269
sesame,2123.53271484375,6784.0664
sisal,305.65606689453125,616.2766
sorghumfor,0.0,0.0
sorghum,39349.7734375,122392.875
soybean,64087.484375,214405.12
spicenes,462.2239990234375,907.7352
sugarcane,3351.09375,28402.729
sunflower,6733.31591796875,23300.383
sweetpotato,55097.484375,308775.97
tangetc,2724.49365234375,6526.513
tea,13305.8486328125,20709.396
tobacco,20075.484375,100356.66
tomato,14157.8349609375,28152.934
tropicalnes,2025.490478515625,4018.0054
tung,2037.5223388671875,3997.542
vanilla,41.900352478027344,78.94636
vegetablenes,5196.7978515625,12137.43
vegfor,18789.109375,70853.08
wheat,210.61387634277344,1036.0631
yam,5831.1611328125,27643.297
