Crop,clipped_PA_surf,total_surf
abaca,4.8828206062316895,7.963784
agave,1515.14306640625,5896.677
apple,0.011938723735511303,0.08999677
avocado,20.596576690673828,34.18038
banana,738.4105224609375,1263.5703
bean,62527.9453125,237776.78
beetfor,0.13622629642486572,0.5648282
berrynes,0.15919727087020874,0.26844937
cabbagefor,0.0,0.0
cabbage,360.7983703613281,1406.5782
carrotfor,0.0,0.0
carrot,53.53495788574219,203.33951
cashew,2.3570404052734375,8.949319
cassava,6002.146484375,21159.707
cauliflower,0.07342831045389175,0.32949305
chilleetc,52.49868392944336,197.06052
citrusnes,13.46885871887207,53.13295
cocoa,1943.6358642578125,11967.071
coconut,166.53846740722656,1105.9637
coffee,35504.03515625,143602.0
cotton,531.5172729492188,1960.7157
cucumberetc,2.269782066345215,8.636146
eggplant,0.5859633684158325,2.2965224
fruitnes,816.092529296875,2835.456
garlic,0.0,0.022894252
ginger,2.8608131408691406,4.683738
grapefruitetc,9.99746322631836,23.457745
grape,0.0,0.0113962265
groundnut,9343.0009765625,42520.484
legumenes,0.0,0.0
lemonlime,2.004875659942627,5.0070696
lettuce,0.09686464071273804,0.40645832
maizefor,0.0,0.0
maize,73807.0,296059.38
mango,37.82741928100586,66.66993
melonetc,41.841346740722656,94.44499
nutmeg,0.950665295124054,3.665565
nutnes,15.756723403930664,25.654583
oilpalm,14730.22265625,32593.365
onion,271.40692138671875,1056.574
orange,5812.53125,22128.805
papaya,3.3759007453918457,5.6334314
pepper,1.3649673461914062,3.6214871
pineapple,1080.6546630859375,4039.8804
plantain,5026.8564453125,14704.972
popcorn,0.0,0.0
potato,2569.680419921875,3352.034
pumpkinetc,0.38754773139953613,1.6035244
rice,22938.3984375,73580.17
rootnes,458.30877685546875,1744.2053
sesame,1956.511474609375,7599.5137
sorghumfor,0.0,0.0
sorghum,9575.484375,33042.383
soybean,620.2340087890625,3883.107
strawberry,0.3816937506198883,0.6319909
sugarbeet,0.0,0.0
sugarcane,19660.8046875,72013.74
sweetpotato,4.5207905769348145,7.6150813
tobacco,2024.58203125,3484.8608
tomato,348.829345703125,1322.2539
tropicalnes,0.0,0.0
turnipfor,0.0,0.0
vegetablenes,221.02102661132812,835.5216
vegfor,435.86993408203125,1398.544
watermelon,14.984834671020508,29.508266
wheat,3.247101068496704,12.212155
yam,22.821876525878906,53.749702
