Crop,clipped_PA_surf,total_surf
alfalfa,11797.6982421875,23971.8
apple,5110.4912109375,10508.572
apricot,270.344970703125,567.58795
asparagus,610.7637329101562,1286.5421
avocado,1254.6629638671875,2642.35
barley,14452.4521484375,31329.178
beetfor,8753.728515625,17860.486
berrynes,106.6608657836914,224.64006
blueberry,184.38438415527344,387.32037
cabbagefor,7973.4638671875,16275.67
cabbage,444.5883483886719,933.3067
carrotfor,0.0,0.0
carrot,843.7957153320312,1776.5548
cauliflower,797.5641479492188,1675.7527
cerealnes,1364.4659423828125,2872.621
cherry,284.48870849609375,597.3068
chilleetc,40.9765510559082,87.721886
citrusnes,379.50262451171875,796.7669
currant,362.8039855957031,761.70355
fibrenes,2820.360595703125,5909.421
fornes,12254.8544921875,24853.695
fruitnes,472.04351806640625,990.87744
garlic,112.43275451660156,236.7563
grapefruitetc,26.995941162109375,58.00501
grape,6854.26953125,14158.251
greenbean,396.1333312988281,831.63324
greenbroadbean,56.830780029296875,120.7282
greencorn,2423.419921875,5058.007
greenonion,2619.27685546875,5485.4927
greenpea,3432.85693359375,7078.425
hop,161.9372100830078,340.28714
kiwi,5290.72021484375,10922.407
legumenes,0.0,0.0
lemonlime,146.94387817382812,308.88095
lentil,692.7457885742188,943.19324
lettuce,650.9248657226562,1367.6461
linseed,349.14947509765625,733.0658
maizefor,2466.09130859375,5169.191
maize,7304.90966796875,14221.592
melonetc,55.88393020629883,118.785126
mushroom,5.780788421630859,12.917865
oats,2920.659912109375,6068.7153
orange,301.3735046386719,632.7021
peachetc,489.4262390136719,1028.3446
pear,329.13177490234375,691.05505
pea,4838.15185546875,9926.03
persimmon,117.14791870117188,246.64478
plum,168.67466735839844,354.39713
popcorn,0.0,0.0
potato,6007.0576171875,9414.676
pumpkinetc,3071.49462890625,6414.2295
quince,32.72951889038086,70.273994
rapeseed,567.1935424804688,1367.7041
rasberry,80.99445343017578,171.02075
sorghumfor,53.48686981201172,113.71224
sorghum,0.0,0.0
spinach,188.53562927246094,395.98172
stonefruitnes,42.80396270751953,91.58778
strawberry,117.43106079101562,247.25052
sugarbeet,0.0,0.0
swedefor,8534.1171875,17411.578
sweetpotato,421.7105407714844,798.95154
tangetc,352.5554504394531,740.2175
tomato,355.835693359375,747.107
tropicalnes,246.92538452148438,518.3859
turnipfor,13019.66796875,26313.02
vegetablenes,2105.2177734375,4420.903
vegfor,3297.826904296875,8283.613
watermelon,108.58936309814453,228.71075
wheat,13983.4951171875,30190.152
