Crop,clipped_PA_surf,total_surf
alfalfa,440.7871398925781,2190.2017
aniseetc,0.0,0.21109712
apple,13.586833000183105,73.391075
apricot,0.0,0.11372496
artichoke,0.0,0.29928443
avocado,467.8763122558594,2378.8147
banana,1380.290283203125,8352.634
barley,0.08952274918556213,0.08952275
bean,12801.0224609375,69922.87
broadbean,3916.6083984375,19098.016
buckwheat,0.0817086324095726,3.8492217
cabbagefor,0.0,0.0
cabbage,1.201514482498169,1.2015145
carrotfor,0.0,0.0
carrot,343.5137939453125,1159.6327
cashewapple,2.7143702507019043,52.257015
cassava,30427.20703125,178953.39
castor,976.2348022460938,5259.421
cauliflower,0.2206803411245346,0.22068034
cerealnes,1.5675685405731201,3.4754643
cherry,0.16654038429260254,0.16654038
chestnut,26.7511043548584,26.787394
chickpea,0.2836379110813141,0.2836379
chilleetc,184.50482177734375,947.4331
clover,3.0233616828918457,15.625136
cocoa,0.0,0.0
coconut,0.0,0.014018963
coffee,27.904447555541992,284.66965
cotton,2524.5390625,10895.965
cucumberetc,0.3795458972454071,0.3795459
fibrenes,0.0,0.03580224
fig,0.4289994239807129,0.42899942
flax,0.0,0.1220123
fornes,27438.5703125,127572.28
fruitnes,397.3138732910156,1920.3994
garlic,32.42296600341797,192.65948
grapefruitetc,204.90260314941406,1049.162
grape,67.76698303222656,392.6323
grassnes,265.40118408203125,500.22293
greenbroadbean,0.0,0.0
greencorn,20.522905349731445,20.55121
greenonion,207.63925170898438,1127.4757
greenpea,13.981138229370117,15.162855
groundnut,3431.57958984375,24612.703
legumenes,0.0,0.0
lemonlime,99.85687255859375,607.61993
lentil,0.0,0.26734397
lettuce,1.4720985889434814,1.4720986
linseed,1.4902818202972412,7.7244887
maizefor,2.9434521198272705,9.10378
maize,155970.21875,1013713.4
mango,812.7430419921875,4153.763
mate,4852.076171875,25515.328
melonetc,1537.909423828125,7881.563
millet,0.5997183918952942,3.2799206
nutnes,0.0,0.090393335
oats,12.34991455078125,47.6451
oilpalm,552.2344970703125,15873.39
olive,0.705983579158783,3.7285137
onion,1039.234619140625,5289.6436
orange,1486.291015625,7860.956
papaya,208.57774353027344,1058.2279
peachetc,37.898189544677734,181.04443
pear,5.613039016723633,26.98106
pea,1121.037353515625,5547.411
pimento,0.0,0.17986515
pineapple,1296.95458984375,6401.6367
plantain,0.6030030250549316,0.603003
plum,54.652122497558594,287.0751
popcorn,0.0,0.0
potato,33.287506103515625,239.30197
pumpkinetc,397.56805419921875,1950.7542
quince,0.4249269366264343,0.4493969
quinoa,36.96928787231445,37.018677
rapeseed,5366.07177734375,47523.258
rice,23737.27734375,154339.19
rootnes,27.398605346679688,27.435726
ryefor,0.0,0.0
rye,1.7324128150939941,8.472052
sesame,9591.62109375,46188.703
sorghumfor,7.943122863769531,11.463975
sorghum,5976.59814453125,30071.016
soybean,525749.5,3221565.5
spicenes,0.0,0.036747042
strawberry,73.57829284667969,381.1077
stringbean,0.0,0.42728063
sugarcane,12375.4404296875,102724.1
sunflower,4936.54345703125,30974.844
sweetpotato,691.2559814453125,5051.097
tangetc,389.5139465332031,2110.7385
tea,4.748819351196289,130.2602
tobacco,834.1607666015625,3348.167
tomato,397.00994873046875,1324.7189
tropicalnes,491.0962829589844,2519.7642
tung,1702.3525390625,8826.18
turnipfor,0.0,0.0
vegetablenes,501.1571350097656,2504.473
vegfor,682.50244140625,3630.0535
walnut,0.0,0.23045269
watermelon,4441.86279296875,22751.445
wheat,65938.7109375,469534.75
yam,0.0,0.7391666
