Crop,clipped_PA_surf,total_surf
aniseetc,259.4335632324219,424.21765
apple,0.07097619771957397,0.13232425
avocado,6.003827095031738,9.533325
banana,112287.4609375,317383.44
barley,3627.699462890625,10782.295
bean,328354.9375,929790.2
berrynes,0.058978788554668427,0.11883993
cabbagefor,0.0,0.0
cabbage,1631.58837890625,2593.0405
carrotfor,0.0,0.0
carrot,5.967884063720703,9.48238
cashew,327441.84375,735383.6
cassava,260633.796875,1008302.3
castor,3163.9755859375,6844.619
cauliflower,0.0,0.0106402
cerealnes,22930.931640625,49716.242
chickpea,6909.501953125,49692.895
chilleetc,118.91328430175781,189.19217
citrusnes,6213.56494140625,13452.285
clove,3185.477294921875,6926.626
cocoa,4514.1044921875,9496.97
coconut,293465.28125,592019.06
coffee,64273.234375,195259.48
cotton,37794.6796875,493629.75
cowpea,27943.30078125,128657.05
cucumberetc,0.0,0.025553722
date,0.24192798137664795,0.4348235
fruitnes,14274.404296875,31221.807
garlic,717.0491943359375,1558.4807
ginger,142.29249572753906,257.22086
grapefruitetc,2.8597187995910645,4.6116834
grape,493.971923828125,1077.3925
greenbean,439.9894714355469,935.90405
greenbroadbean,52.3969612121582,116.186646
greencorn,6259.71240234375,13580.12
greenpea,2259.693115234375,4871.9116
groundnut,235492.15625,998289.3
jutelikefiber,1.7880405187606812,3.178846
legumenes,0.0,0.0
lemonlime,723.416259765625,1578.347
lentil,0.46165186166763306,1.6202439
lettuce,0.01201875600963831,0.053449314
linseed,0.8180208206176758,1.4159918
maizefor,0.0,0.0
maize,1241390.625,4171160.0
mango,15995.59765625,34660.477
millet,36368.84375,271269.5
nutmeg,726.6008911132812,1582.1549
nutnes,2745.817626953125,5960.807
oats,4.900257587432861,7.8016386
oilpalm,3005.687744140625,5205.5654
oilseedfor,0.0,0.0
oilseednes,19447.314453125,43176.254
okra,0.8062041401863098,1.3850576
onion,8593.4873046875,18728.031
orange,14475.0,30351.281
papaya,10.740904808044434,17.23743
peachetc,0.0,0.0
pear,197.76580810546875,393.89404
pea,28606.8671875,63820.633
pepper,200.89453125,389.83362
pigeonpea,28447.94140625,129935.61
pimento,2256.56298828125,4901.2227
pineapple,6760.52783203125,14650.121
plantain,86040.296875,302675.12
plum,128.38894653320312,204.27713
popcorn,0.0,0.0
potato,58018.6328125,118619.086
pulsenes,19916.2265625,44290.797
pumpkinetc,59.52238464355469,127.632744
pyrethrum,6746.5615234375,14629.086
rice,421942.0625,1556265.6
rootnes,210.85025024414062,337.13016
safflower,11212.455078125,24323.021
sesame,380192.40625,864683.75
sisal,21236.84375,46498.33
sorghumfor,0.0,0.0
sorghum,132980.625,695707.44
soybean,4076.099609375,18438.906
spicenes,2.9172730445861816,5.705744
spinach,2.34743070602417,3.7576587
strawberry,0.0,0.0
sugarcane,16544.419921875,51192.973
sunflower,226380.234375,1024092.6
sweetpotato,128834.375,605552.9
taro,38.424659729003906,194.81042
tea,15679.484375,21178.934
tobacco,40662.10546875,119858.836
tomato,16148.1533203125,35008.723
tropicalnes,9093.390625,19756.557
tung,1.167385220527649,2.158233
turnipfor,0.0,0.0
vanilla,0.0,0.20068903
vegetablenes,41173.27734375,96285.16
vegfor,129914.34375,329008.66
watermelon,686.8253784179688,1090.707
wheat,30768.404296875,61095.168
yam,937.1888427734375,1219.0333
