Crop,clipped_PA_surf,total_surf
alfalfa,10.005257606506348,399.4889
almond,385.6483154296875,3107.6968
apple,12307.37890625,103418.13
apricot,4828.712890625,38686.418
artichoke,11.534744262695312,123.326935
barley,10131.8974609375,99944.3
bean,0.6498464941978455,42.663826
beetfor,2.554450273513794,11.125147
berrynes,8.011425971984863,79.37059
blueberry,8.655423164367676,93.61365
broadbean,344.5234375,2836.1016
buckwheat,9.844928741455078,53.31935
cabbagefor,0.0,0.0
cabbage,1464.1513671875,11854.531
carrotfor,0.0,0.0
carrot,0.5399179458618164,2056.4395
cashew,0.02478552609682083,0.22263993
cauliflower,0.20959007740020752,1.1562525
cerealnes,469.7953186035156,3863.261
cherry,1431.3310546875,11597.254
chickpea,327.25244140625,4347.0537
chilleetc,93.47136688232422,738.3382
citrusnes,70.52702331542969,626.04236
cotton,87828.1640625,909806.94
cucumberetc,2709.000244140625,21798.816
currant,7.996654033660889,84.54692
eggplant,72.22277069091797,577.66766
fig,11.968338012695312,118.010345
fornes,398.9678039550781,1906.7333
fruitnes,2064.1962890625,16790.271
garlic,853.0399780273438,6957.3584
grapefruitetc,13.317654609680176,136.87201
grape,2577.013671875,16666.451
grassnes,206.68460083007812,836.70435
greenbean,62.40059280395508,493.4851
greenbroadbean,22.18353843688965,190.58987
greenpea,92.61164855957031,778.9097
groundnut,93.8248291015625,1469.0696
hazelnut,335.302490234375,2666.9758
jute,214.05160522460938,1764.0068
kiwi,0.057977743446826935,0.39610344
legumenes,0.0,0.0
lemonlime,91.93788146972656,709.0153
lentil,82.31234741210938,1133.7865
lettuce,32.953819274902344,313.14795
linseed,358.70611572265625,3121.13
maizefor,11007.41796875,90273.836
maize,3610.4384765625,39462.05
melonetc,1.4198462963104248,49.75988
millet,65.04702758789062,897.7376
mixedgrass,14120.68359375,109383.49
mustard,7.917427062988281,37.947186
nutnes,35.213138580322266,287.98965
oats,43.186805725097656,228.81895
oilseedfor,0.0,0.0
oilseednes,88.2343521118164,695.3878
olive,12.6371431350708,128.09406
onion,4028.13330078125,32838.81
orange,0.27984777092933655,1.8382607
peachetc,2029.565673828125,16417.688
pear,811.922119140625,6638.6904
pea,112.89923095703125,843.9243
pepper,33.921897888183594,289.91705
pimento,202.90097045898438,1672.0486
pistachio,259.2432556152344,2140.8245
plum,1457.107666015625,11843.052
popcorn,0.0,0.0
potato,8593.4560546875,84306.25
pulsenes,1389.7083740234375,10178.14
pumpkinetc,0.6108527183532715,2.8732345
quince,574.82275390625,4710.1494
rapeseed,159.43960571289062,1555.7626
rasberry,1.8027955293655396,8.392702
rice,4422.65478515625,44430.426
ryefor,0.0,0.0
rye,110.347412109375,896.92535
safflower,2136.24365234375,17205.248
sesame,1068.0738525390625,8751.767
sorghumfor,0.0,0.0
sorghum,0.03908342123031616,587.58417
sourcherry,557.6351928710938,4602.45
soybean,0.0,946.0193
spicenes,54.18315124511719,460.67673
strawberry,134.0564422607422,1016.92395
sugarbeet,45.49650573730469,260.14276
sunflower,618.481689453125,5331.6016
tangetc,9.75295639038086,109.559586
tobacco,128.084716796875,2178.817
tomato,6597.2841796875,55446.637
tropicalnes,0.0,0.0
turnipfor,0.0,0.0
vegetablenes,4447.1142578125,36901.035
vegfor,1403.4898681640625,11782.837
walnut,580.6573486328125,4769.8364
watermelon,4059.09912109375,33545.97
wheat,106657.5703125,1288387.9
