Crop,clipped_PA_surf,total_surf
almond,0.544269859790802,1.5958538
aniseetc,1925.8232421875,6261.498
apple,18.51471519470215,103.26297
apricot,0.6292872428894043,1.5571759
areca,3.154679775238037,9.300502
artichoke,0.2433488667011261,0.51411414
asparagus,44.093875885009766,118.680786
avocado,0.26333296298980713,0.5848563
banana,39204.8984375,124350.49
barley,20.459108352661133,87.02324
bean,31481.693359375,129822.625
beetfor,0.0,0.0
berrynes,3551.46142578125,11794.434
broadbean,20.722248077392578,88.14307
buckwheat,18.746200561523438,79.73654
cabbagefor,0.0,0.0
cabbage,10712.439453125,34867.848
carrotfor,0.0,0.0
carrot,15.562641143798828,41.888298
cashew,80077.546875,260512.34
cassava,149355.265625,511798.4
castor,2269.33935546875,7478.4014
cauliflower,2202.630859375,6848.7197
cerealnes,0.014042467810213566,0.1451925
cherry,0.06223590672016144,0.07635673
chestnut,6.64878511428833,19.57565
chickpea,0.10835754871368408,0.25062236
chilleetc,37.36595153808594,92.45671
cinnamon,24799.716796875,77440.805
citrusnes,3.977551221847534,11.722496
coconut,18081.75390625,142129.1
coffee,207849.984375,627406.8
cotton,30.856678009033203,134.18896
cucumberetc,56.38267517089844,151.76581
date,0.19617652893066406,0.43277755
eggplant,35.66804122924805,96.00325
fibrenes,3694.52294921875,12217.369
fig,0.0,0.0
flax,6.251853942871094,18.407068
fornes,310.6811218261719,798.8728
fruitnes,70792.3984375,231488.34
garlic,26.899097442626953,72.39368
ginger,1.159271240234375,3.4208875
grapefruitetc,17473.373046875,53035.48
grape,63.84303283691406,326.0564
greenbean,7.445624351501465,20.056305
greenbroadbean,0.5128299593925476,1.3568484
greenonion,0.7592114806175232,1.9921699
greenpea,8.847175598144531,23.793865
groundnut,50061.25390625,161444.83
hazelnut,0.3471476435661316,0.96413827
hempseed,0.6441808342933655,1.9445196
hemp,2.1304545402526855,9.221241
hop,0.4116450846195221,1.1599354
jutelikefiber,0.23327194154262543,0.5842504
jute,27.65892219543457,165.26785
legumenes,0.0,0.0
lemonlime,11.339012145996094,26.118298
lentil,2.4054598808288574,9.517265
lettuce,16.302284240722656,43.876755
linseed,31.738550186157227,93.4961
maizefor,0.0,0.0
maize,277737.125,905097.56
mango,30271.029296875,98399.266
melonetc,31.347110748291016,73.808334
melonseed,1.7632198333740234,5.183933
millet,390.7109375,1212.5801
mushroom,0.341501921415329,0.8386327
mustard,1.8755600452423096,5.493234
nutmeg,42.773277282714844,83.42227
nutnes,957.4861450195312,3196.3882
oats,6.6894989013671875,28.431929
oilpalm,376.4368591308594,23649.037
onion,27284.8671875,91757.164
orange,20744.16796875,70767.93
papaya,0.165522038936615,0.36490646
peachetc,23.4389591217041,57.750076
pear,29.66952896118164,112.38895
pea,15.464859008789062,65.765854
pepper,32185.759765625,101910.31
persimmon,21.426626205444336,52.79014
pimento,12530.833984375,42585.18
pineapple,11089.9765625,36993.227
pistachio,0.8469794392585754,2.5509622
plum,60.22630310058594,148.57172
popcorn,0.0,0.0
potato,2635.87744140625,18824.176
pulsenes,47404.3359375,157171.86
pumpkinetc,12.011489868164062,32.328426
quince,0.4005671441555023,1.0097456
ramie,9.109457969665527,24.095882
rapeseed,41.305355072021484,108.52188
rice,1291921.25,6621824.5
rootnes,2.1245651245117188,14.914721
rubber,207122.703125,653626.0
ryefor,0.0,0.0
rye,9.25019645690918,39.309685
safflower,1.155971884727478,3.411155
sesame,9429.701171875,31738.46
sisal,0.4257802963256836,1.19974
sorghumfor,0.0,0.0
sorghum,1.9963849782943726,4.7184677
soybean,11070.357421875,44683.098
spicenes,1.2013626098632812,3.566088
spinach,24.70611572265625,66.48173
stonefruitnes,7.409402370452881,14.609388
strawberry,0.0,0.0
stringbean,0.03140115365386009,0.031401154
sugarbeet,0.0,0.0
sugarcane,40610.48828125,179389.33
sunflower,0.03804703429341316,0.10087846
sweetpotato,28808.650390625,106676.89
tangetc,76.31404113769531,208.5112
taro,5.489285469055176,16.142078
tea,43968.51953125,105326.43
tobacco,3815.7177734375,12029.501
tomato,42.41972351074219,114.174866
triticale,2.861346960067749,12.356986
tropicalnes,23.15947723388672,57.06012
tung,8.41537857055664,24.787567
turnipfor,0.0,0.0
vanilla,0.0,0.0
vegetablenes,44526.35546875,146111.72
vegfor,246241.53125,759725.06
walnut,10.724837303161621,31.601002
watermelon,17297.19921875,54879.395
wheat,36.74343490600586,131.93422
yam,5.012872695922852,23.949883
