Country Code (ISO3),Country Code (M49),Animal,heads_on_PA,total_heads,total volume
AFG,4,Bf,200.84198,840.0013,
AFG,4,Ch,3101918.8,12092643.0,149581501.916
AFG,4,Ct,1286877.6,5268365.0,1910657234.009
AFG,4,Dk,72354.945,390565.3,
AFG,4,Gt,1840310.8,7746219.0,363679062.532
AFG,4,Ho,34002.23,172977.95,
AFG,4,Pg,4.843966,35.31682,
AFG,4,Sh,2568951.8,13245412.0,765256592.541
ALB,8,Bf,39.358856,115.64902,
ALB,8,Ch,1769904.1,8554729.0,155531696.93653846
ALB,8,Ct,148107.1,504152.53,574034378.01158
ALB,8,Dk,189740.95,1003687.5,
ALB,8,Gt,288678.56,931509.75,91093184.20085712
ALB,8,Ho,8369.821,30934.459,
ALB,8,Pg,63296.434,171476.19,31353925.68
ALB,8,Sh,529737.75,1917048.2,165502224.03184286
DZA,12,Bf,0.0,0.0,
DZA,12,Ch,25862340.0,133532600.0,1722335151.204
DZA,12,Ct,520841.03125,2145168.0,2984129624.6256
DZA,12,Dk,12933.5498046875,59867.188,
DZA,12,Gt,1338513.0,5021311.5,853252511.7475
DZA,12,Ho,9823.9404296875,42395.973,1499410.686
DZA,12,Pg,1218.67822265625,5068.444,371756.502
DZA,12,Sh,5790990.0,28096154.0,4627265077.772333
AGO,24,Bf,0.0,0.0,
AGO,24,Ch,7276090.5,35696710.0,531524011.916
AGO,24,Ct,1012540.75,4988371.0,922494112.6824
AGO,24,Dk,60.5864486694336,196.74959,
AGO,24,Gt,1037147.875,4384230.5,102192989.86
AGO,24,Ho,157.85757446289062,1055.3392,
AGO,24,Pg,675644.5,3139573.5,582943928.7653999
AGO,24,Sh,342652.4375,1120624.4,42734168.73899999
ARG,32,Bf,30751.898,80844.6,
ARG,32,Ch,38245984.0,114767704.0,8498404513.192043
ARG,32,Ct,11382802.0,51433076.0,22275912042.211
ARG,32,Dk,610634.56,2581893.5,21304486.888
ARG,32,Gt,1228048.2,4723624.5,38234347.85657142
ARG,32,Ho,662529.8,2448282.8,108321009.4
ARG,32,Pg,865014.8,5015117.5,2668078623.0
ARG,32,Sh,3478752.5,14858392.0,299152390.0959
ARM,51,Bf,247.94008,808.8533,
ARM,51,Ch,1380519.9,4050001.8,125682544.52307692
ARM,51,Ct,277175.94,680309.56,643544161.0
ARM,51,Dk,10294.867,24707.127,
ARM,51,Gt,14582.184,33074.94,2140737.251714286
ARM,51,Ho,4269.66,11348.959,
ARM,51,Pg,48084.99,141098.45,54956415.0
ARM,51,Sh,308347.12,699381.56,103074255.1436
AUS,36,Bf,1238.8849,3966.195,
AUS,36,Ch,27834694.0,88501736.0,4352351388.156905
AUS,36,Ct,6524631.5,27385164.0,17497287127.0
AUS,36,Dk,460702.34,1145785.8,102322049.04
AUS,36,Gt,615867.44,3598219.8,192494952.7444445
AUS,36,Ho,98165.984,271353.47,47366240.58733333
AUS,36,Pg,537320.2,2270200.8,1006049626.6666667
AUS,36,Sh,15412257.0,70861496.0,4679472797.34375
AUT,40,Bf,35.94857,57.01588,0.0
AUT,40,Ch,2387863.0,16388198.0,
AUT,40,Ct,416851.84,1972808.2,4068438411.25
AUT,40,Dk,14301.596,59691.695,
AUT,40,Gt,18714.824,70910.96,39732167.38888889
AUT,40,Ho,25327.447,88915.67,
AUT,40,Pg,467765.7,2847598.5,1101420272.0
AUT,40,Sh,110688.984,350139.03,55979949.1375
AZE,31,Bf,29367.297,242240.88,
AZE,31,Ch,4505356.0,27331344.0,641248576.1104615
AZE,31,Ct,436400.6,2454857.0,1876116751.594
AZE,31,Dk,246.5115,566.58704,
AZE,31,Gt,214587.61,647959.75,2685463.0
AZE,31,Ho,17547.957,73599.484,
AZE,31,Pg,2253.375,5825.0522,1851551.7
AZE,31,Sh,1551509.6,7991286.0,612272301.8825713
BHS,44,Bf,0.0,0.0,
BHS,44,Ch,2688047.75,3007001.2,19042142.91156419
BHS,44,Ct,664.4931640625,726.99164,588803.80995
BHS,44,Dk,0.0,0.0,
BHS,44,Gt,13413.916015625,14729.117,2367748.303333333
